Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0359 | Sem Loss: 0.0054 | Con Loss: 3.9492 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0244 | Sem Loss: -0.0087 | Con Loss: 4.1836 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0242 | Sem Loss: 0.0025 | Con Loss: 2.6699 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0291 | Sem Loss: -0.0072 | Con Loss: 4.0469 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0280 | Sem Loss: -0.0005 | Con Loss: 2.5996 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0196 | Sem Loss: -0.0037 | Con Loss: 2.6621 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0236 | Sem Loss: -0.0053 | Con Loss: 3.2344 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0246 | Sem Loss: -0.0004 | Con Loss: 2.7285 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0173 | Sem Loss: -0.0025 | Con Loss: 2.5645 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0171 | Sem Loss: -0.0046 | Con Loss: 2.4609 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.2971
Step 110 | Total Loss: 0.0154 | Sem Loss: -0.0043 | Con Loss: 2.9863 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0175 | Sem Loss: -0.0071 | Con Loss: 3.3398 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0140 | Sem Loss: -0.0074 | Con Loss: 2.8672 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0120 | Sem Loss: -0.0049 | Con Loss: 2.3320 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0116 | Sem Loss: -0.0048 | Con Loss: 2.3457 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0113 | Sem Loss: -0.0039 | Con Loss: 2.4648 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0129 | Sem Loss: -0.0044 | Con Loss: 2.8633 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0081 | Sem Loss: -0.0101 | Con Loss: 2.6738 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0059 | Sem Loss: -0.0095 | Con Loss: 2.6816 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0067 | Sem Loss: -0.0111 | Con Loss: 3.0332 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.7241
Step 210 | Total Loss: 0.0070 | Sem Loss: -0.0113 | Con Loss: 2.5918 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0054 | Sem Loss: -0.0140 | Con Loss: 3.2031 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0044 | Sem Loss: -0.0125 | Con Loss: 2.9648 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0028 | Sem Loss: -0.0166 | Con Loss: 3.3047 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0018 | Sem Loss: -0.0133 | Con Loss: 2.7871 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0002 | Sem Loss: -0.0153 | Con Loss: 3.1738 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: -0.0009 | Sem Loss: -0.0152 | Con Loss: 2.8066 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0002 | Sem Loss: -0.0190 | Con Loss: 3.2188 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: -0.0030 | Sem Loss: -0.0197 | Con Loss: 3.4609 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0049 | Sem Loss: -0.0222 | Con Loss: 4.0664 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.4414
Step 310 | Total Loss: -0.0055 | Sem Loss: -0.0255 | Con Loss: 4.6406 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0073 | Sem Loss: -0.0254 | Con Loss: 4.3867 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0099 | Sem Loss: -0.0303 | Con Loss: 5.2500 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0116 | Sem Loss: -0.0310 | Con Loss: 5.1211 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0139 | Sem Loss: -0.0358 | Con Loss: 6.1484 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0164 | Sem Loss: -0.0381 | Con Loss: 6.1641 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0191 | Sem Loss: -0.0461 | Con Loss: 8.1484 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0219 | Sem Loss: -0.0458 | Con Loss: 8.1562 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0261 | Sem Loss: -0.0592 | Con Loss: 10.8672 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0325 | Sem Loss: -0.0637 | Con Loss: 11.2812 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 4.1367
Step 410 | Total Loss: -0.0374 | Sem Loss: -0.0800 | Con Loss: 15.0156 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0470 | Sem Loss: -0.0890 | Con Loss: 17.2812 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0536 | Sem Loss: -0.1006 | Con Loss: 19.0156 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0592 | Sem Loss: -0.1055 | Con Loss: 20.5781 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0735 | Sem Loss: -0.1270 | Con Loss: 22.2188 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0796 | Sem Loss: -0.1353 | Con Loss: 25.9844 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0908 | Sem Loss: -0.1387 | Con Loss: 26.6094 | Sem Penalty: 0.0000 | Lam: 0.0031
