Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0163 | Sem Loss: -0.0050 | Con Loss: 1.6826 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0149 | Sem Loss: -0.0049 | Con Loss: 1.5596 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0134 | Sem Loss: -0.0068 | Con Loss: 1.6572 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0123 | Sem Loss: -0.0073 | Con Loss: 1.4941 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0117 | Sem Loss: -0.0093 | Con Loss: 1.9316 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0098 | Sem Loss: -0.0091 | Con Loss: 1.7627 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0089 | Sem Loss: -0.0099 | Con Loss: 1.6562 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0084 | Sem Loss: -0.0094 | Con Loss: 1.6572 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0075 | Sem Loss: -0.0109 | Con Loss: 1.6641 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0060 | Sem Loss: -0.0115 | Con Loss: 1.6982 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.7471
Step 110 | Total Loss: 0.0070 | Sem Loss: -0.0118 | Con Loss: 1.8086 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0047 | Sem Loss: -0.0114 | Con Loss: 1.5674 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0035 | Sem Loss: -0.0109 | Con Loss: 1.6240 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0036 | Sem Loss: -0.0117 | Con Loss: 1.8662 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0024 | Sem Loss: -0.0107 | Con Loss: 1.7266 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0016 | Sem Loss: -0.0126 | Con Loss: 1.8662 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0002 | Sem Loss: -0.0145 | Con Loss: 2.0059 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: -0.0006 | Sem Loss: -0.0168 | Con Loss: 2.1816 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: -0.0025 | Sem Loss: -0.0175 | Con Loss: 2.2344 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: -0.0035 | Sem Loss: -0.0175 | Con Loss: 2.3086 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 1.1387
Step 210 | Total Loss: -0.0045 | Sem Loss: -0.0187 | Con Loss: 2.4785 | Sem Penalty: 0.0000 | Lam: 0.0073
Step 220 | Total Loss: -0.0057 | Sem Loss: -0.0211 | Con Loss: 2.8750 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 230 | Total Loss: -0.0072 | Sem Loss: -0.0223 | Con Loss: 3.1426 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 240 | Total Loss: -0.0097 | Sem Loss: -0.0260 | Con Loss: 3.4902 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 250 | Total Loss: -0.0116 | Sem Loss: -0.0292 | Con Loss: 4.0703 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: -0.0146 | Sem Loss: -0.0350 | Con Loss: 4.9102 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 270 | Total Loss: -0.0170 | Sem Loss: -0.0398 | Con Loss: 5.9688 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 280 | Total Loss: -0.0255 | Sem Loss: -0.0560 | Con Loss: 8.1484 | Sem Penalty: 0.0000 | Lam: 0.0057
Step 290 | Total Loss: -0.0311 | Sem Loss: -0.0684 | Con Loss: 10.1016 | Sem Penalty: 0.0000 | Lam: 0.0054
Step 300 | Total Loss: -0.0404 | Sem Loss: -0.0853 | Con Loss: 12.6094 | Sem Penalty: 0.0000 | Lam: 0.0052
      Step 300 | Scalar Projection: 5.5469
Step 310 | Total Loss: -0.0545 | Sem Loss: -0.1039 | Con Loss: 15.6406 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 320 | Total Loss: -0.0665 | Sem Loss: -0.1199 | Con Loss: 18.1875 | Sem Penalty: 0.0000 | Lam: 0.0048
Step 330 | Total Loss: -0.0841 | Sem Loss: -0.1689 | Con Loss: 25.4688 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 340 | Total Loss: -0.1019 | Sem Loss: -0.2163 | Con Loss: 34.8125 | Sem Penalty: 0.0000 | Lam: 0.0044
Step 350 | Total Loss: -0.1295 | Sem Loss: -0.2617 | Con Loss: 40.9062 | Sem Penalty: 0.0000 | Lam: 0.0042
Step 360 | Total Loss: -0.1393 | Sem Loss: -0.2795 | Con Loss: 44.4062 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 370 | Total Loss: -0.1816 | Sem Loss: -0.3496 | Con Loss: 56.5312 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 380 | Total Loss: -0.2030 | Sem Loss: -0.3799 | Con Loss: 61.7500 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 390 | Total Loss: -0.2333 | Sem Loss: -0.4402 | Con Loss: 71.3125 | Sem Penalty: 0.0000 | Lam: 0.0035
Step 400 | Total Loss: -0.2620 | Sem Loss: -0.5024 | Con Loss: 84.0000 | Sem Penalty: 0.0000 | Lam: 0.0034
      Step 400 | Scalar Projection: 32.6562
Step 410 | Total Loss: -0.2737 | Sem Loss: -0.4675 | Con Loss: 76.5000 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 420 | Total Loss: -0.2832 | Sem Loss: -0.4609 | Con Loss: 74.0000 | Sem Penalty: 0.0000 | Lam: 0.0032
Step 430 | Total Loss: -0.3252 | Sem Loss: -0.5405 | Con Loss: 85.4375 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 440 | Total Loss: -0.3706 | Sem Loss: -0.6426 | Con Loss: 106.3125 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 450 | Total Loss: -0.4111 | Sem Loss: -0.6670 | Con Loss: 106.8750 | Sem Penalty: 0.0000 | Lam: 0.0029
Step 460 | Total Loss: -0.3894 | Sem Loss: -0.6113 | Con Loss: 95.6250 | Sem Penalty: 0.0000 | Lam: 0.0028
Step 470 | Total Loss: -0.4431 | Sem Loss: -0.7344 | Con Loss: 116.5000 | Sem Penalty: 0.0000 | Lam: 0.0028
Step 480 | Total Loss: -0.4612 | Sem Loss: -0.7104 | Con Loss: 107.7500 | Sem Penalty: 0.0000 | Lam: 0.0027
Step 490 | Total Loss: -0.4746 | Sem Loss: -0.7832 | Con Loss: 124.8125 | Sem Penalty: 0.0000 | Lam: 0.0027
