Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0393 | Sem Loss: -0.0011 | Con Loss: 2.0996 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0323 | Sem Loss: -0.0007 | Con Loss: 1.8740 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0221 | Sem Loss: -0.0035 | Con Loss: 1.5869 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0314 | Sem Loss: -0.0031 | Con Loss: 1.9521 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0278 | Sem Loss: -0.0037 | Con Loss: 1.6514 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0174 | Sem Loss: -0.0040 | Con Loss: 1.4561 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0320 | Sem Loss: -0.0033 | Con Loss: 1.8555 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0257 | Sem Loss: -0.0063 | Con Loss: 2.5762 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0251 | Sem Loss: -0.0042 | Con Loss: 1.7881 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0223 | Sem Loss: -0.0037 | Con Loss: 1.4785 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.2432
Step 110 | Total Loss: 0.0198 | Sem Loss: -0.0046 | Con Loss: 1.7588 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0150 | Sem Loss: -0.0061 | Con Loss: 1.4746 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0163 | Sem Loss: -0.0052 | Con Loss: 1.5664 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0121 | Sem Loss: -0.0059 | Con Loss: 1.3838 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0129 | Sem Loss: -0.0080 | Con Loss: 1.8242 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0100 | Sem Loss: -0.0070 | Con Loss: 1.4414 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0130 | Sem Loss: -0.0057 | Con Loss: 1.5137 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: 0.0103 | Sem Loss: -0.0081 | Con Loss: 1.6953 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: 0.0078 | Sem Loss: -0.0083 | Con Loss: 1.5479 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: 0.0070 | Sem Loss: -0.0091 | Con Loss: 1.6836 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 0.5918
Step 210 | Total Loss: 0.0075 | Sem Loss: -0.0103 | Con Loss: 1.7715 | Sem Penalty: 0.0000 | Lam: 0.0073
Step 220 | Total Loss: 0.0061 | Sem Loss: -0.0102 | Con Loss: 1.7627 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 230 | Total Loss: 0.0045 | Sem Loss: -0.0105 | Con Loss: 1.8135 | Sem Penalty: 0.0000 | Lam: 0.0068
