Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0179 | Sem Loss: -0.0025 | Con Loss: 1.4961 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0163 | Sem Loss: -0.0012 | Con Loss: 1.3340 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0161 | Sem Loss: -0.0018 | Con Loss: 1.4268 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0158 | Sem Loss: -0.0022 | Con Loss: 1.4424 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0150 | Sem Loss: -0.0014 | Con Loss: 1.2773 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0132 | Sem Loss: -0.0011 | Con Loss: 1.1094 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0144 | Sem Loss: -0.0032 | Con Loss: 1.5811 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0120 | Sem Loss: -0.0020 | Con Loss: 1.1875 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0120 | Sem Loss: -0.0019 | Con Loss: 1.2168 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0119 | Sem Loss: -0.0013 | Con Loss: 1.0654 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.0853
Step 110 | Total Loss: 0.0128 | Sem Loss: -0.0009 | Con Loss: 1.0381 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0101 | Sem Loss: -0.0013 | Con Loss: 1.0264 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0088 | Sem Loss: -0.0020 | Con Loss: 0.8286 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0094 | Sem Loss: -0.0030 | Con Loss: 1.2041 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0086 | Sem Loss: -0.0024 | Con Loss: 1.3838 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0077 | Sem Loss: -0.0026 | Con Loss: 1.2607 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0084 | Sem Loss: -0.0025 | Con Loss: 1.1484 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0077 | Sem Loss: -0.0034 | Con Loss: 1.0381 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0062 | Sem Loss: -0.0022 | Con Loss: 0.8760 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0072 | Sem Loss: -0.0026 | Con Loss: 0.9258 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.1680
Step 210 | Total Loss: 0.0060 | Sem Loss: -0.0033 | Con Loss: 1.1504 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0042 | Sem Loss: -0.0033 | Con Loss: 1.0078 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0048 | Sem Loss: -0.0030 | Con Loss: 0.9468 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0037 | Sem Loss: -0.0035 | Con Loss: 1.1709 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0031 | Sem Loss: -0.0037 | Con Loss: 1.1084 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0024 | Sem Loss: -0.0041 | Con Loss: 1.1748 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0031 | Sem Loss: -0.0043 | Con Loss: 1.3965 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0021 | Sem Loss: -0.0047 | Con Loss: 1.2773 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0015 | Sem Loss: -0.0048 | Con Loss: 1.3125 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: 0.0019 | Sem Loss: -0.0053 | Con Loss: 1.5117 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 0.3416
Step 310 | Total Loss: 0.0011 | Sem Loss: -0.0055 | Con Loss: 1.5449 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: 0.0000 | Sem Loss: -0.0065 | Con Loss: 1.7119 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0006 | Sem Loss: -0.0068 | Con Loss: 1.7090 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0017 | Sem Loss: -0.0068 | Con Loss: 1.6836 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0023 | Sem Loss: -0.0084 | Con Loss: 2.0879 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0031 | Sem Loss: -0.0089 | Con Loss: 2.0859 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0044 | Sem Loss: -0.0096 | Con Loss: 2.3828 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0052 | Sem Loss: -0.0108 | Con Loss: 2.6875 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0068 | Sem Loss: -0.0121 | Con Loss: 3.0020 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0086 | Sem Loss: -0.0127 | Con Loss: 3.1348 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 0.8257
Step 410 | Total Loss: -0.0102 | Sem Loss: -0.0154 | Con Loss: 3.7598 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0131 | Sem Loss: -0.0166 | Con Loss: 4.3828 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0181 | Sem Loss: -0.0224 | Con Loss: 5.9453 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0220 | Sem Loss: -0.0224 | Con Loss: 6.3750 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0264 | Sem Loss: -0.0305 | Con Loss: 8.3047 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0310 | Sem Loss: -0.0388 | Con Loss: 9.8125 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0440 | Sem Loss: -0.0485 | Con Loss: 12.6562 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.0456 | Sem Loss: -0.0491 | Con Loss: 11.8672 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.0629 | Sem Loss: -0.0767 | Con Loss: 17.6406 | Sem Penalty: 0.0000 | Lam: 0.0028
