Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0376 | Sem Loss: -0.0039 | Con Loss: 2.8789 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0376 | Sem Loss: -0.0056 | Con Loss: 2.7910 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0381 | Sem Loss: -0.0045 | Con Loss: 2.9844 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0333 | Sem Loss: -0.0054 | Con Loss: 2.3223 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0330 | Sem Loss: -0.0074 | Con Loss: 2.5410 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0340 | Sem Loss: -0.0073 | Con Loss: 2.8945 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0308 | Sem Loss: -0.0074 | Con Loss: 2.4766 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0265 | Sem Loss: -0.0076 | Con Loss: 2.0938 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0245 | Sem Loss: -0.0078 | Con Loss: 2.1543 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0266 | Sem Loss: -0.0078 | Con Loss: 2.0566 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.5078
Step 110 | Total Loss: 0.0236 | Sem Loss: -0.0079 | Con Loss: 2.0469 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0245 | Sem Loss: -0.0074 | Con Loss: 2.2363 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0224 | Sem Loss: -0.0081 | Con Loss: 2.1289 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0203 | Sem Loss: -0.0097 | Con Loss: 2.4023 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0150 | Sem Loss: -0.0071 | Con Loss: 1.6553 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0196 | Sem Loss: -0.0091 | Con Loss: 2.1211 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0168 | Sem Loss: -0.0090 | Con Loss: 2.3086 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: 0.0190 | Sem Loss: -0.0098 | Con Loss: 2.2480 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: 0.0147 | Sem Loss: -0.0097 | Con Loss: 2.3613 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: 0.0116 | Sem Loss: -0.0092 | Con Loss: 1.9385 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 0.5962
Step 210 | Total Loss: 0.0135 | Sem Loss: -0.0081 | Con Loss: 1.8037 | Sem Penalty: 0.0000 | Lam: 0.0073
Step 220 | Total Loss: 0.0093 | Sem Loss: -0.0098 | Con Loss: 2.1289 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 230 | Total Loss: 0.0081 | Sem Loss: -0.0105 | Con Loss: 2.0391 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 240 | Total Loss: 0.0107 | Sem Loss: -0.0114 | Con Loss: 2.3691 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 250 | Total Loss: 0.0036 | Sem Loss: -0.0141 | Con Loss: 2.5547 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0023 | Sem Loss: -0.0144 | Con Loss: 2.6094 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 270 | Total Loss: 0.0006 | Sem Loss: -0.0146 | Con Loss: 2.5254 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 280 | Total Loss: 0.0023 | Sem Loss: -0.0149 | Con Loss: 2.7402 | Sem Penalty: 0.0000 | Lam: 0.0057
Step 290 | Total Loss: -0.0005 | Sem Loss: -0.0185 | Con Loss: 3.2676 | Sem Penalty: 0.0000 | Lam: 0.0054
Step 300 | Total Loss: -0.0065 | Sem Loss: -0.0221 | Con Loss: 3.5117 | Sem Penalty: 0.0000 | Lam: 0.0052
      Step 300 | Scalar Projection: 1.4346
Step 310 | Total Loss: -0.0081 | Sem Loss: -0.0223 | Con Loss: 3.7871 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 320 | Total Loss: -0.0136 | Sem Loss: -0.0276 | Con Loss: 4.2344 | Sem Penalty: 0.0000 | Lam: 0.0048
Step 330 | Total Loss: -0.0173 | Sem Loss: -0.0361 | Con Loss: 5.3125 | Sem Penalty: 0.0000 | Lam: 0.0046
