Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0159 | Sem Loss: -0.0033 | Con Loss: 1.5156 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0262 | Sem Loss: -0.0007 | Con Loss: 2.0508 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0208 | Sem Loss: -0.0013 | Con Loss: 1.5195 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0132 | Sem Loss: -0.0047 | Con Loss: 1.5498 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0125 | Sem Loss: -0.0036 | Con Loss: 1.4570 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0133 | Sem Loss: -0.0036 | Con Loss: 1.4209 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0125 | Sem Loss: -0.0058 | Con Loss: 1.6631 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0115 | Sem Loss: -0.0032 | Con Loss: 1.2246 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0102 | Sem Loss: -0.0036 | Con Loss: 1.3516 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0112 | Sem Loss: -0.0046 | Con Loss: 1.3506 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.3010
Step 110 | Total Loss: 0.0140 | Sem Loss: -0.0041 | Con Loss: 1.4385 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0128 | Sem Loss: -0.0034 | Con Loss: 1.4863 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0084 | Sem Loss: -0.0057 | Con Loss: 1.4395 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0090 | Sem Loss: -0.0056 | Con Loss: 1.5596 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0062 | Sem Loss: -0.0056 | Con Loss: 1.2178 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0070 | Sem Loss: -0.0078 | Con Loss: 1.7490 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0096 | Sem Loss: -0.0053 | Con Loss: 1.5830 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: 0.0044 | Sem Loss: -0.0079 | Con Loss: 1.6064 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: 0.0036 | Sem Loss: -0.0091 | Con Loss: 1.6338 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: 0.0026 | Sem Loss: -0.0088 | Con Loss: 1.5166 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 0.5713
Step 210 | Total Loss: 0.0030 | Sem Loss: -0.0115 | Con Loss: 2.0918 | Sem Penalty: 0.0000 | Lam: 0.0073
Step 220 | Total Loss: 0.0043 | Sem Loss: -0.0136 | Con Loss: 2.4277 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 230 | Total Loss: 0.0015 | Sem Loss: -0.0134 | Con Loss: 2.3281 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 240 | Total Loss: 0.0000 | Sem Loss: -0.0148 | Con Loss: 2.3809 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 250 | Total Loss: 0.0002 | Sem Loss: -0.0165 | Con Loss: 2.6699 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0006 | Sem Loss: -0.0166 | Con Loss: 2.8535 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 270 | Total Loss: -0.0021 | Sem Loss: -0.0181 | Con Loss: 3.0820 | Sem Penalty: 0.0000 | Lam: 0.0059
