Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0166 | Sem Loss: -0.0010 | Con Loss: 1.4717 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0162 | Sem Loss: -0.0013 | Con Loss: 1.6592 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0263 | Sem Loss: 0.0021 | Con Loss: 2.7441 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0185 | Sem Loss: -0.0046 | Con Loss: 1.6543 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0161 | Sem Loss: -0.0022 | Con Loss: 1.4551 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0143 | Sem Loss: -0.0025 | Con Loss: 1.3438 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0145 | Sem Loss: -0.0027 | Con Loss: 1.6162 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0132 | Sem Loss: -0.0031 | Con Loss: 1.5625 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0147 | Sem Loss: -0.0034 | Con Loss: 2.3340 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0117 | Sem Loss: -0.0039 | Con Loss: 1.5078 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.2517
Step 110 | Total Loss: 0.0119 | Sem Loss: -0.0042 | Con Loss: 1.3711 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0110 | Sem Loss: -0.0058 | Con Loss: 1.5977 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0098 | Sem Loss: -0.0050 | Con Loss: 1.5537 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0123 | Sem Loss: -0.0046 | Con Loss: 1.6084 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0101 | Sem Loss: -0.0067 | Con Loss: 1.6201 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0072 | Sem Loss: -0.0059 | Con Loss: 1.5508 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0075 | Sem Loss: -0.0072 | Con Loss: 1.8594 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: 0.0084 | Sem Loss: -0.0068 | Con Loss: 2.0898 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: 0.0067 | Sem Loss: -0.0072 | Con Loss: 1.9570 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: 0.0059 | Sem Loss: -0.0079 | Con Loss: 1.7539 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 0.5161
Step 210 | Total Loss: 0.0053 | Sem Loss: -0.0081 | Con Loss: 1.8438 | Sem Penalty: 0.0000 | Lam: 0.0073
Step 220 | Total Loss: 0.0044 | Sem Loss: -0.0077 | Con Loss: 1.6768 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 230 | Total Loss: 0.0044 | Sem Loss: -0.0100 | Con Loss: 2.2910 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 240 | Total Loss: 0.0038 | Sem Loss: -0.0071 | Con Loss: 2.2578 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 250 | Total Loss: 0.0018 | Sem Loss: -0.0083 | Con Loss: 1.9219 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0006 | Sem Loss: -0.0103 | Con Loss: 2.2246 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 270 | Total Loss: -0.0001 | Sem Loss: -0.0116 | Con Loss: 2.5352 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 280 | Total Loss: -0.0022 | Sem Loss: -0.0125 | Con Loss: 2.4375 | Sem Penalty: 0.0000 | Lam: 0.0057
Step 290 | Total Loss: -0.0032 | Sem Loss: -0.0155 | Con Loss: 2.9805 | Sem Penalty: 0.0000 | Lam: 0.0054
Step 300 | Total Loss: -0.0033 | Sem Loss: -0.0165 | Con Loss: 3.4551 | Sem Penalty: 0.0000 | Lam: 0.0052
      Step 300 | Scalar Projection: 1.0723
Step 310 | Total Loss: -0.0066 | Sem Loss: -0.0164 | Con Loss: 3.1016 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 320 | Total Loss: -0.0088 | Sem Loss: -0.0218 | Con Loss: 3.9336 | Sem Penalty: 0.0000 | Lam: 0.0048
Step 330 | Total Loss: -0.0118 | Sem Loss: -0.0265 | Con Loss: 4.8281 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 340 | Total Loss: -0.0149 | Sem Loss: -0.0311 | Con Loss: 5.8398 | Sem Penalty: 0.0000 | Lam: 0.0044
Step 350 | Total Loss: -0.0192 | Sem Loss: -0.0361 | Con Loss: 6.6133 | Sem Penalty: 0.0000 | Lam: 0.0042
Step 360 | Total Loss: -0.0252 | Sem Loss: -0.0450 | Con Loss: 8.6016 | Sem Penalty: 0.0000 | Lam: 0.0040
