Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0109 | Sem Loss: -0.0007 | Con Loss: 0.3464 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0094 | Sem Loss: -0.0009 | Con Loss: 0.3093 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0087 | Sem Loss: -0.0011 | Con Loss: 0.3923 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0090 | Sem Loss: -0.0016 | Con Loss: 0.3904 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0098 | Sem Loss: -0.0010 | Con Loss: 0.3540 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0086 | Sem Loss: -0.0014 | Con Loss: 0.4026 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0074 | Sem Loss: -0.0008 | Con Loss: 0.2695 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0074 | Sem Loss: -0.0014 | Con Loss: 0.3411 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0074 | Sem Loss: -0.0011 | Con Loss: 0.3293 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0066 | Sem Loss: -0.0013 | Con Loss: 0.3010 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.0818
Step 110 | Total Loss: 0.0063 | Sem Loss: -0.0016 | Con Loss: 0.4192 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0063 | Sem Loss: -0.0009 | Con Loss: 0.2949 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0066 | Sem Loss: -0.0012 | Con Loss: 0.3354 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0054 | Sem Loss: -0.0012 | Con Loss: 0.3284 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0057 | Sem Loss: -0.0011 | Con Loss: 0.2947 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0049 | Sem Loss: -0.0013 | Con Loss: 0.3042 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0049 | Sem Loss: -0.0012 | Con Loss: 0.2964 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: 0.0042 | Sem Loss: -0.0016 | Con Loss: 0.3450 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: 0.0040 | Sem Loss: -0.0014 | Con Loss: 0.3220 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: 0.0035 | Sem Loss: -0.0015 | Con Loss: 0.3232 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 0.0966
Step 210 | Total Loss: 0.0035 | Sem Loss: -0.0016 | Con Loss: 0.3489 | Sem Penalty: 0.0000 | Lam: 0.0073
Step 220 | Total Loss: 0.0037 | Sem Loss: -0.0016 | Con Loss: 0.3616 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 230 | Total Loss: 0.0027 | Sem Loss: -0.0017 | Con Loss: 0.3630 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 240 | Total Loss: 0.0023 | Sem Loss: -0.0018 | Con Loss: 0.3621 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 250 | Total Loss: 0.0017 | Sem Loss: -0.0020 | Con Loss: 0.3806 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0018 | Sem Loss: -0.0019 | Con Loss: 0.3811 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 270 | Total Loss: 0.0013 | Sem Loss: -0.0020 | Con Loss: 0.4407 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 280 | Total Loss: 0.0008 | Sem Loss: -0.0021 | Con Loss: 0.4255 | Sem Penalty: 0.0000 | Lam: 0.0057
Step 290 | Total Loss: 0.0005 | Sem Loss: -0.0028 | Con Loss: 0.4995 | Sem Penalty: 0.0000 | Lam: 0.0054
Step 300 | Total Loss: -0.0001 | Sem Loss: -0.0026 | Con Loss: 0.4905 | Sem Penalty: 0.0000 | Lam: 0.0052
      Step 300 | Scalar Projection: 0.1682
Step 310 | Total Loss: -0.0005 | Sem Loss: -0.0028 | Con Loss: 0.5273 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 320 | Total Loss: -0.0011 | Sem Loss: -0.0031 | Con Loss: 0.6006 | Sem Penalty: 0.0000 | Lam: 0.0048
Step 330 | Total Loss: -0.0016 | Sem Loss: -0.0033 | Con Loss: 0.6099 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 340 | Total Loss: -0.0020 | Sem Loss: -0.0037 | Con Loss: 0.7134 | Sem Penalty: 0.0000 | Lam: 0.0044
Step 350 | Total Loss: -0.0031 | Sem Loss: -0.0041 | Con Loss: 0.7749 | Sem Penalty: 0.0000 | Lam: 0.0042
Step 360 | Total Loss: -0.0036 | Sem Loss: -0.0045 | Con Loss: 0.8438 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 370 | Total Loss: -0.0043 | Sem Loss: -0.0048 | Con Loss: 0.8833 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 380 | Total Loss: -0.0051 | Sem Loss: -0.0052 | Con Loss: 0.9902 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 390 | Total Loss: -0.0059 | Sem Loss: -0.0056 | Con Loss: 1.0967 | Sem Penalty: 0.0000 | Lam: 0.0035
Step 400 | Total Loss: -0.0066 | Sem Loss: -0.0059 | Con Loss: 1.1406 | Sem Penalty: 0.0000 | Lam: 0.0034
      Step 400 | Scalar Projection: 0.3850
Step 410 | Total Loss: -0.0080 | Sem Loss: -0.0071 | Con Loss: 1.4805 | Sem Penalty: 0.0000 | Lam: 0.0033
