Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0405 | Sem Loss: -0.0023 | Con Loss: 5.0625 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0317 | Sem Loss: 0.0065 | Con Loss: 3.6621 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0310 | Sem Loss: -0.0007 | Con Loss: 4.7461 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0303 | Sem Loss: -0.0026 | Con Loss: 4.0977 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0216 | Sem Loss: -0.0018 | Con Loss: 3.1562 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0237 | Sem Loss: -0.0002 | Con Loss: 2.9629 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0245 | Sem Loss: -0.0007 | Con Loss: 3.4766 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0196 | Sem Loss: -0.0018 | Con Loss: 2.7246 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0202 | Sem Loss: 0.0012 | Con Loss: 3.0918 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0179 | Sem Loss: -0.0009 | Con Loss: 2.9629 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.0599
Step 110 | Total Loss: 0.0213 | Sem Loss: -0.0007 | Con Loss: 2.9473 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0168 | Sem Loss: -0.0053 | Con Loss: 2.8262 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0160 | Sem Loss: -0.0039 | Con Loss: 2.8711 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0152 | Sem Loss: -0.0040 | Con Loss: 2.4746 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0153 | Sem Loss: -0.0034 | Con Loss: 2.6777 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0139 | Sem Loss: -0.0071 | Con Loss: 2.9238 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0120 | Sem Loss: -0.0077 | Con Loss: 3.1113 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: 0.0090 | Sem Loss: -0.0078 | Con Loss: 2.5938 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: 0.0110 | Sem Loss: -0.0098 | Con Loss: 3.1582 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: 0.0082 | Sem Loss: -0.0125 | Con Loss: 3.5391 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 0.8110
Step 210 | Total Loss: 0.0112 | Sem Loss: -0.0099 | Con Loss: 3.0371 | Sem Penalty: 0.0000 | Lam: 0.0073
