Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0218 | Sem Loss: -0.0019 | Con Loss: 1.6602 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0186 | Sem Loss: -0.0012 | Con Loss: 1.1992 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0219 | Sem Loss: -0.0007 | Con Loss: 1.3203 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0149 | Sem Loss: -0.0023 | Con Loss: 1.2402 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0137 | Sem Loss: -0.0014 | Con Loss: 0.9663 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0136 | Sem Loss: -0.0016 | Con Loss: 0.9536 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0146 | Sem Loss: -0.0020 | Con Loss: 0.9561 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0139 | Sem Loss: -0.0017 | Con Loss: 0.9810 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0141 | Sem Loss: -0.0013 | Con Loss: 0.8359 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0115 | Sem Loss: -0.0014 | Con Loss: 0.8721 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.0941
Step 110 | Total Loss: 0.0115 | Sem Loss: -0.0006 | Con Loss: 0.8491 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0105 | Sem Loss: -0.0022 | Con Loss: 0.9429 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 130 | Total Loss: 0.0096 | Sem Loss: -0.0023 | Con Loss: 0.8267 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 140 | Total Loss: 0.0105 | Sem Loss: -0.0020 | Con Loss: 1.0029 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 150 | Total Loss: 0.0086 | Sem Loss: -0.0022 | Con Loss: 0.8267 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 160 | Total Loss: 0.0097 | Sem Loss: -0.0027 | Con Loss: 1.0527 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 170 | Total Loss: 0.0067 | Sem Loss: -0.0022 | Con Loss: 0.8442 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 180 | Total Loss: 0.0072 | Sem Loss: -0.0022 | Con Loss: 0.8779 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 190 | Total Loss: 0.0072 | Sem Loss: -0.0034 | Con Loss: 1.0947 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 200 | Total Loss: 0.0066 | Sem Loss: -0.0026 | Con Loss: 0.8657 | Sem Penalty: 0.0000 | Lam: 0.0075
      Step 200 | Scalar Projection: 0.1689
Step 210 | Total Loss: 0.0062 | Sem Loss: -0.0027 | Con Loss: 0.9673 | Sem Penalty: 0.0000 | Lam: 0.0073
Step 220 | Total Loss: 0.0053 | Sem Loss: -0.0037 | Con Loss: 1.1465 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 230 | Total Loss: 0.0036 | Sem Loss: -0.0031 | Con Loss: 0.9844 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 240 | Total Loss: 0.0042 | Sem Loss: -0.0032 | Con Loss: 1.0029 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 250 | Total Loss: 0.0028 | Sem Loss: -0.0035 | Con Loss: 0.9761 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0023 | Sem Loss: -0.0036 | Con Loss: 1.0869 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 270 | Total Loss: 0.0015 | Sem Loss: -0.0042 | Con Loss: 1.1035 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 280 | Total Loss: 0.0019 | Sem Loss: -0.0040 | Con Loss: 1.1074 | Sem Penalty: 0.0000 | Lam: 0.0057
Step 290 | Total Loss: 0.0003 | Sem Loss: -0.0044 | Con Loss: 1.2402 | Sem Penalty: 0.0000 | Lam: 0.0054
Step 300 | Total Loss: -0.0002 | Sem Loss: -0.0046 | Con Loss: 1.3506 | Sem Penalty: 0.0000 | Lam: 0.0052
      Step 300 | Scalar Projection: 0.2971
Step 310 | Total Loss: -0.0015 | Sem Loss: -0.0054 | Con Loss: 1.5059 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 320 | Total Loss: -0.0021 | Sem Loss: -0.0062 | Con Loss: 1.6934 | Sem Penalty: 0.0000 | Lam: 0.0048
Step 330 | Total Loss: -0.0038 | Sem Loss: -0.0073 | Con Loss: 2.0215 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 340 | Total Loss: -0.0052 | Sem Loss: -0.0087 | Con Loss: 2.2461 | Sem Penalty: 0.0000 | Lam: 0.0044
Step 350 | Total Loss: -0.0073 | Sem Loss: -0.0100 | Con Loss: 2.7363 | Sem Penalty: 0.0000 | Lam: 0.0042
Step 360 | Total Loss: -0.0097 | Sem Loss: -0.0123 | Con Loss: 3.1406 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 370 | Total Loss: -0.0110 | Sem Loss: -0.0129 | Con Loss: 3.1836 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 380 | Total Loss: -0.0156 | Sem Loss: -0.0156 | Con Loss: 4.1641 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 390 | Total Loss: -0.0210 | Sem Loss: -0.0214 | Con Loss: 5.6016 | Sem Penalty: 0.0000 | Lam: 0.0035
Step 400 | Total Loss: -0.0248 | Sem Loss: -0.0240 | Con Loss: 6.8125 | Sem Penalty: 0.0000 | Lam: 0.0034
      Step 400 | Scalar Projection: 1.5576
Step 410 | Total Loss: -0.0320 | Sem Loss: -0.0321 | Con Loss: 8.8516 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 420 | Total Loss: -0.0395 | Sem Loss: -0.0385 | Con Loss: 10.5781 | Sem Penalty: 0.0000 | Lam: 0.0032
Step 430 | Total Loss: -0.0526 | Sem Loss: -0.0559 | Con Loss: 15.0312 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 440 | Total Loss: -0.0435 | Sem Loss: -0.0443 | Con Loss: 13.1016 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 450 | Total Loss: -0.0639 | Sem Loss: -0.0654 | Con Loss: 18.3906 | Sem Penalty: 0.0000 | Lam: 0.0029
Step 460 | Total Loss: -0.0677 | Sem Loss: -0.0631 | Con Loss: 18.6250 | Sem Penalty: 0.0000 | Lam: 0.0028
Step 470 | Total Loss: -0.0892 | Sem Loss: -0.0964 | Con Loss: 25.8125 | Sem Penalty: 0.0000 | Lam: 0.0028
Step 480 | Total Loss: -0.0837 | Sem Loss: -0.0923 | Con Loss: 23.8750 | Sem Penalty: 0.0000 | Lam: 0.0027
Step 490 | Total Loss: -0.0916 | Sem Loss: -0.1064 | Con Loss: 27.2344 | Sem Penalty: 0.0000 | Lam: 0.0027
