Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0218 | Sem Loss: 0.0004 | Con Loss: 1.6660 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0189 | Sem Loss: -0.0002 | Con Loss: 1.7158 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0267 | Sem Loss: -0.0002 | Con Loss: 1.2100 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  40 | Total Loss: 0.0184 | Sem Loss: -0.0006 | Con Loss: 1.3018 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  50 | Total Loss: 0.0206 | Sem Loss: -0.0015 | Con Loss: 2.0742 | Sem Penalty: 0.0000 | Lam: 0.0098
Step  60 | Total Loss: 0.0189 | Sem Loss: -0.0012 | Con Loss: 1.3535 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  70 | Total Loss: 0.0158 | Sem Loss: -0.0018 | Con Loss: 1.1719 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  80 | Total Loss: 0.0143 | Sem Loss: -0.0021 | Con Loss: 1.0986 | Sem Penalty: 0.0000 | Lam: 0.0095
Step  90 | Total Loss: 0.0135 | Sem Loss: -0.0028 | Con Loss: 1.0859 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 100 | Total Loss: 0.0146 | Sem Loss: -0.0029 | Con Loss: 1.1250 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 100 | Scalar Projection: 0.1875
Step 110 | Total Loss: 0.0162 | Sem Loss: -0.0023 | Con Loss: 1.1602 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 120 | Total Loss: 0.0137 | Sem Loss: -0.0028 | Con Loss: 1.2070 | Sem Penalty: 0.0000 | Lam: 0.0090
