Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0189 | Sem Loss: -0.0030 | Con Loss: 2.1523 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0164 | Sem Loss: -0.0016 | Con Loss: 1.4609 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0190 | Sem Loss: -0.0021 | Con Loss: 2.1172 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0195 | Sem Loss: -0.0005 | Con Loss: 1.9600 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0150 | Sem Loss: -0.0034 | Con Loss: 1.6621 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0185 | Sem Loss: -0.0034 | Con Loss: 2.1328 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0135 | Sem Loss: -0.0018 | Con Loss: 1.2920 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0166 | Sem Loss: -0.0045 | Con Loss: 1.9365 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0164 | Sem Loss: -0.0024 | Con Loss: 1.8193 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0124 | Sem Loss: -0.0045 | Con Loss: 1.4297 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.2937
Step 110 | Total Loss: 0.0131 | Sem Loss: -0.0031 | Con Loss: 1.4561 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0122 | Sem Loss: -0.0043 | Con Loss: 1.5518 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0133 | Sem Loss: -0.0050 | Con Loss: 1.6768 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0116 | Sem Loss: -0.0049 | Con Loss: 1.6045 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0112 | Sem Loss: -0.0053 | Con Loss: 1.3320 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0115 | Sem Loss: -0.0042 | Con Loss: 1.5879 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0129 | Sem Loss: -0.0064 | Con Loss: 1.7656 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0116 | Sem Loss: -0.0048 | Con Loss: 1.5244 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0109 | Sem Loss: -0.0059 | Con Loss: 1.5234 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0099 | Sem Loss: -0.0062 | Con Loss: 1.3164 | Sem Penalty: 0.0000 | Lam: 0.0097
      Step 200 | Scalar Projection: 0.4016
Step 210 | Total Loss: 0.0087 | Sem Loss: -0.0070 | Con Loss: 1.5225 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 220 | Total Loss: 0.0107 | Sem Loss: -0.0045 | Con Loss: 1.4043 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 230 | Total Loss: 0.0103 | Sem Loss: -0.0049 | Con Loss: 1.4453 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 240 | Total Loss: 0.0113 | Sem Loss: -0.0076 | Con Loss: 1.6543 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 250 | Total Loss: 0.0111 | Sem Loss: -0.0052 | Con Loss: 1.3057 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 260 | Total Loss: 0.0081 | Sem Loss: -0.0068 | Con Loss: 1.6289 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 270 | Total Loss: 0.0101 | Sem Loss: -0.0057 | Con Loss: 1.4385 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 280 | Total Loss: 0.0084 | Sem Loss: -0.0048 | Con Loss: 1.4180 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 290 | Total Loss: 0.0086 | Sem Loss: -0.0066 | Con Loss: 1.4824 | Sem Penalty: 0.0000 | Lam: 0.0093
