Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0102 | Sem Loss: -0.0010 | Con Loss: 0.3696 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0088 | Sem Loss: -0.0006 | Con Loss: 0.2842 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0093 | Sem Loss: -0.0014 | Con Loss: 0.3882 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0094 | Sem Loss: -0.0010 | Con Loss: 0.3879 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0085 | Sem Loss: -0.0012 | Con Loss: 0.3889 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0078 | Sem Loss: -0.0011 | Con Loss: 0.3269 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0089 | Sem Loss: -0.0014 | Con Loss: 0.3879 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0088 | Sem Loss: -0.0016 | Con Loss: 0.3804 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0081 | Sem Loss: -0.0017 | Con Loss: 0.3884 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0077 | Sem Loss: -0.0009 | Con Loss: 0.3059 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.0576
Step 110 | Total Loss: 0.0073 | Sem Loss: -0.0012 | Con Loss: 0.3521 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0071 | Sem Loss: -0.0011 | Con Loss: 0.2969 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0063 | Sem Loss: -0.0012 | Con Loss: 0.3298 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0078 | Sem Loss: -0.0012 | Con Loss: 0.3389 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0063 | Sem Loss: -0.0011 | Con Loss: 0.2854 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0075 | Sem Loss: -0.0014 | Con Loss: 0.3823 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0062 | Sem Loss: -0.0010 | Con Loss: 0.2847 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0060 | Sem Loss: -0.0013 | Con Loss: 0.2996 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0056 | Sem Loss: -0.0016 | Con Loss: 0.3147 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0057 | Sem Loss: -0.0014 | Con Loss: 0.3218 | Sem Penalty: 0.0000 | Lam: 0.0097
      Step 200 | Scalar Projection: 0.0920
Step 210 | Total Loss: 0.0060 | Sem Loss: -0.0013 | Con Loss: 0.2817 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 220 | Total Loss: 0.0058 | Sem Loss: -0.0016 | Con Loss: 0.3708 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 230 | Total Loss: 0.0055 | Sem Loss: -0.0016 | Con Loss: 0.4067 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 240 | Total Loss: 0.0053 | Sem Loss: -0.0019 | Con Loss: 0.3489 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 250 | Total Loss: 0.0052 | Sem Loss: -0.0019 | Con Loss: 0.3638 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 260 | Total Loss: 0.0049 | Sem Loss: -0.0015 | Con Loss: 0.2966 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 270 | Total Loss: 0.0046 | Sem Loss: -0.0016 | Con Loss: 0.3025 | Sem Penalty: 0.0000 | Lam: 0.0094
