Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0224 | Sem Loss: -0.0062 | Con Loss: 2.9629 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0244 | Sem Loss: -0.0021 | Con Loss: 1.9961 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0256 | Sem Loss: -0.0038 | Con Loss: 3.0137 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0271 | Sem Loss: -0.0053 | Con Loss: 3.0449 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0206 | Sem Loss: -0.0064 | Con Loss: 2.5078 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0208 | Sem Loss: -0.0057 | Con Loss: 2.0996 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0197 | Sem Loss: -0.0041 | Con Loss: 1.7822 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0170 | Sem Loss: -0.0055 | Con Loss: 1.6465 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0174 | Sem Loss: -0.0057 | Con Loss: 1.6758 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0185 | Sem Loss: -0.0096 | Con Loss: 2.7617 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.6230
Step 110 | Total Loss: 0.0193 | Sem Loss: -0.0063 | Con Loss: 2.1836 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0159 | Sem Loss: -0.0057 | Con Loss: 1.6553 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0171 | Sem Loss: -0.0058 | Con Loss: 1.7178 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0207 | Sem Loss: -0.0050 | Con Loss: 2.1641 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0158 | Sem Loss: -0.0068 | Con Loss: 2.2461 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0166 | Sem Loss: -0.0062 | Con Loss: 1.9434 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0176 | Sem Loss: -0.0059 | Con Loss: 1.9199 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0145 | Sem Loss: -0.0055 | Con Loss: 1.6914 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0126 | Sem Loss: -0.0071 | Con Loss: 1.6133 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0136 | Sem Loss: -0.0068 | Con Loss: 1.6826 | Sem Penalty: 0.0000 | Lam: 0.0097
      Step 200 | Scalar Projection: 0.4438
Step 210 | Total Loss: 0.0149 | Sem Loss: -0.0064 | Con Loss: 1.7402 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 220 | Total Loss: 0.0159 | Sem Loss: -0.0074 | Con Loss: 1.8027 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 230 | Total Loss: 0.0120 | Sem Loss: -0.0065 | Con Loss: 1.5283 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 240 | Total Loss: 0.0126 | Sem Loss: -0.0064 | Con Loss: 1.5361 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 250 | Total Loss: 0.0137 | Sem Loss: -0.0095 | Con Loss: 2.1191 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 260 | Total Loss: 0.0135 | Sem Loss: -0.0096 | Con Loss: 1.9834 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 270 | Total Loss: 0.0133 | Sem Loss: -0.0088 | Con Loss: 2.0137 | Sem Penalty: 0.0000 | Lam: 0.0094
