Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0347 | Sem Loss: 0.0050 | Con Loss: 3.6953 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0243 | Sem Loss: -0.0042 | Con Loss: 2.7227 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0304 | Sem Loss: 0.0021 | Con Loss: 3.3848 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0216 | Sem Loss: -0.0034 | Con Loss: 2.5586 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0241 | Sem Loss: -0.0035 | Con Loss: 2.6738 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0247 | Sem Loss: -0.0008 | Con Loss: 2.8828 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0202 | Sem Loss: -0.0034 | Con Loss: 2.8203 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0209 | Sem Loss: -0.0030 | Con Loss: 2.6797 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0223 | Sem Loss: -0.0054 | Con Loss: 2.3848 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0208 | Sem Loss: -0.0033 | Con Loss: 2.3555 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.2166
Step 110 | Total Loss: 0.0185 | Sem Loss: -0.0004 | Con Loss: 2.1113 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0170 | Sem Loss: -0.0102 | Con Loss: 2.5137 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0170 | Sem Loss: -0.0094 | Con Loss: 2.7852 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0177 | Sem Loss: -0.0065 | Con Loss: 2.2285 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0190 | Sem Loss: -0.0065 | Con Loss: 2.1016 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0153 | Sem Loss: -0.0050 | Con Loss: 2.2129 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0170 | Sem Loss: -0.0065 | Con Loss: 2.1113 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0141 | Sem Loss: -0.0100 | Con Loss: 2.9414 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0129 | Sem Loss: -0.0073 | Con Loss: 2.2051 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0164 | Sem Loss: -0.0082 | Con Loss: 2.2598 | Sem Penalty: 0.0000 | Lam: 0.0097
      Step 200 | Scalar Projection: 0.5356
Step 210 | Total Loss: 0.0156 | Sem Loss: -0.0118 | Con Loss: 3.0020 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 220 | Total Loss: 0.0164 | Sem Loss: -0.0100 | Con Loss: 2.6582 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 230 | Total Loss: 0.0124 | Sem Loss: -0.0067 | Con Loss: 1.9609 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 240 | Total Loss: 0.0114 | Sem Loss: -0.0080 | Con Loss: 1.9326 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 250 | Total Loss: 0.0121 | Sem Loss: -0.0074 | Con Loss: 2.0176 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 260 | Total Loss: 0.0111 | Sem Loss: -0.0072 | Con Loss: 1.9785 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 270 | Total Loss: 0.0110 | Sem Loss: -0.0105 | Con Loss: 2.1484 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 280 | Total Loss: 0.0115 | Sem Loss: -0.0103 | Con Loss: 2.1719 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 290 | Total Loss: 0.0111 | Sem Loss: -0.0078 | Con Loss: 1.9658 | Sem Penalty: 0.0000 | Lam: 0.0093
Step 300 | Total Loss: 0.0106 | Sem Loss: -0.0089 | Con Loss: 1.9512 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 300 | Scalar Projection: 0.5811
Step 310 | Total Loss: 0.0098 | Sem Loss: -0.0076 | Con Loss: 2.0371 | Sem Penalty: 0.0000 | Lam: 0.0093
Step 320 | Total Loss: 0.0111 | Sem Loss: -0.0111 | Con Loss: 1.9082 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 330 | Total Loss: 0.0086 | Sem Loss: -0.0101 | Con Loss: 1.8945 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 340 | Total Loss: 0.0107 | Sem Loss: -0.0124 | Con Loss: 2.3633 | Sem Penalty: 0.0000 | Lam: 0.0091
Step 350 | Total Loss: 0.0118 | Sem Loss: -0.0124 | Con Loss: 2.6504 | Sem Penalty: 0.0000 | Lam: 0.0091
Step 360 | Total Loss: 0.0081 | Sem Loss: -0.0139 | Con Loss: 2.5996 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 370 | Total Loss: 0.0082 | Sem Loss: -0.0125 | Con Loss: 2.2012 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 380 | Total Loss: 0.0070 | Sem Loss: -0.0112 | Con Loss: 1.9727 | Sem Penalty: 0.0000 | Lam: 0.0089
Step 390 | Total Loss: 0.0066 | Sem Loss: -0.0138 | Con Loss: 2.2188 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 400 | Total Loss: 0.0062 | Sem Loss: -0.0157 | Con Loss: 2.7773 | Sem Penalty: 0.0000 | Lam: 0.0088
      Step 400 | Scalar Projection: 1.0176
Step 410 | Total Loss: 0.0071 | Sem Loss: -0.0140 | Con Loss: 2.4746 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 420 | Total Loss: 0.0058 | Sem Loss: -0.0153 | Con Loss: 2.3672 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 430 | Total Loss: 0.0047 | Sem Loss: -0.0157 | Con Loss: 2.4121 | Sem Penalty: 0.0000 | Lam: 0.0086
Step 440 | Total Loss: 0.0077 | Sem Loss: -0.0143 | Con Loss: 2.3594 | Sem Penalty: 0.0000 | Lam: 0.0086
Step 450 | Total Loss: 0.0038 | Sem Loss: -0.0128 | Con Loss: 1.9639 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 460 | Total Loss: 0.0033 | Sem Loss: -0.0164 | Con Loss: 2.4902 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 470 | Total Loss: 0.0035 | Sem Loss: -0.0134 | Con Loss: 2.0039 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 480 | Total Loss: 0.0036 | Sem Loss: -0.0155 | Con Loss: 2.2344 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 490 | Total Loss: 0.0037 | Sem Loss: -0.0149 | Con Loss: 2.4492 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 500 | Total Loss: 0.0018 | Sem Loss: -0.0187 | Con Loss: 2.7637 | Sem Penalty: 0.0000 | Lam: 0.0082
      Step 500 | Scalar Projection: 1.2129
Step 510 | Total Loss: 0.0022 | Sem Loss: -0.0171 | Con Loss: 2.3184 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 520 | Total Loss: 0.0025 | Sem Loss: -0.0149 | Con Loss: 2.2891 | Sem Penalty: 0.0000 | Lam: 0.0080
