Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0181 | Sem Loss: -0.0057 | Con Loss: 1.8418 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0177 | Sem Loss: -0.0081 | Con Loss: 2.3008 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0150 | Sem Loss: -0.0072 | Con Loss: 1.8418 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0109 | Sem Loss: -0.0069 | Con Loss: 1.5273 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0128 | Sem Loss: -0.0069 | Con Loss: 2.1289 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0110 | Sem Loss: -0.0071 | Con Loss: 1.5410 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0108 | Sem Loss: -0.0078 | Con Loss: 1.5898 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0097 | Sem Loss: -0.0100 | Con Loss: 1.8193 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0089 | Sem Loss: -0.0095 | Con Loss: 1.7197 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0082 | Sem Loss: -0.0091 | Con Loss: 1.5586 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.5898
Step 110 | Total Loss: 0.0066 | Sem Loss: -0.0108 | Con Loss: 1.6396 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0054 | Sem Loss: -0.0106 | Con Loss: 1.5234 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0066 | Sem Loss: -0.0118 | Con Loss: 1.8164 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0056 | Sem Loss: -0.0118 | Con Loss: 1.7939 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0055 | Sem Loss: -0.0125 | Con Loss: 1.7529 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0047 | Sem Loss: -0.0125 | Con Loss: 1.7646 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0048 | Sem Loss: -0.0124 | Con Loss: 1.7139 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0045 | Sem Loss: -0.0113 | Con Loss: 1.7158 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0039 | Sem Loss: -0.0149 | Con Loss: 2.0469 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0024 | Sem Loss: -0.0125 | Con Loss: 1.5977 | Sem Penalty: 0.0000 | Lam: 0.0097
      Step 200 | Scalar Projection: 0.8130
Step 210 | Total Loss: 0.0023 | Sem Loss: -0.0130 | Con Loss: 1.7568 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 220 | Total Loss: 0.0019 | Sem Loss: -0.0149 | Con Loss: 1.8799 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 230 | Total Loss: 0.0027 | Sem Loss: -0.0144 | Con Loss: 1.8467 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 240 | Total Loss: 0.0017 | Sem Loss: -0.0147 | Con Loss: 1.9238 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 250 | Total Loss: 0.0022 | Sem Loss: -0.0126 | Con Loss: 1.8711 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 260 | Total Loss: 0.0038 | Sem Loss: -0.0133 | Con Loss: 1.7803 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 270 | Total Loss: 0.0010 | Sem Loss: -0.0145 | Con Loss: 1.8184 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 280 | Total Loss: 0.0008 | Sem Loss: -0.0151 | Con Loss: 1.7695 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 290 | Total Loss: 0.0001 | Sem Loss: -0.0138 | Con Loss: 1.7236 | Sem Penalty: 0.0000 | Lam: 0.0093
Step 300 | Total Loss: -0.0001 | Sem Loss: -0.0148 | Con Loss: 1.7393 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 300 | Scalar Projection: 0.9634
Step 310 | Total Loss: -0.0006 | Sem Loss: -0.0154 | Con Loss: 1.8672 | Sem Penalty: 0.0000 | Lam: 0.0093
Step 320 | Total Loss: -0.0007 | Sem Loss: -0.0166 | Con Loss: 1.9268 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 330 | Total Loss: -0.0007 | Sem Loss: -0.0165 | Con Loss: 1.9014 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 340 | Total Loss: -0.0012 | Sem Loss: -0.0173 | Con Loss: 1.9990 | Sem Penalty: 0.0000 | Lam: 0.0091
Step 350 | Total Loss: -0.0014 | Sem Loss: -0.0184 | Con Loss: 2.0977 | Sem Penalty: 0.0000 | Lam: 0.0091
Step 360 | Total Loss: -0.0025 | Sem Loss: -0.0179 | Con Loss: 2.0469 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 370 | Total Loss: -0.0024 | Sem Loss: -0.0180 | Con Loss: 2.1582 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 380 | Total Loss: -0.0029 | Sem Loss: -0.0171 | Con Loss: 1.9932 | Sem Penalty: 0.0000 | Lam: 0.0089
Step 390 | Total Loss: -0.0033 | Sem Loss: -0.0196 | Con Loss: 2.1914 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 400 | Total Loss: -0.0038 | Sem Loss: -0.0194 | Con Loss: 2.1738 | Sem Penalty: 0.0000 | Lam: 0.0088
      Step 400 | Scalar Projection: 1.2617
Step 410 | Total Loss: -0.0041 | Sem Loss: -0.0198 | Con Loss: 2.2695 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 420 | Total Loss: -0.0043 | Sem Loss: -0.0199 | Con Loss: 2.2500 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 430 | Total Loss: -0.0051 | Sem Loss: -0.0207 | Con Loss: 2.3184 | Sem Penalty: 0.0000 | Lam: 0.0086
Step 440 | Total Loss: -0.0057 | Sem Loss: -0.0236 | Con Loss: 2.6699 | Sem Penalty: 0.0000 | Lam: 0.0086
