Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0300 | Sem Loss: -0.0009 | Con Loss: 1.8965 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0186 | Sem Loss: -0.0020 | Con Loss: 1.4590 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0301 | Sem Loss: -0.0023 | Con Loss: 1.7832 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0375 | Sem Loss: -0.0024 | Con Loss: 6.6602 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0287 | Sem Loss: -0.0038 | Con Loss: 1.8682 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0247 | Sem Loss: -0.0045 | Con Loss: 1.5205 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0235 | Sem Loss: -0.0042 | Con Loss: 1.4609 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0248 | Sem Loss: -0.0025 | Con Loss: 1.5684 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0258 | Sem Loss: -0.0041 | Con Loss: 1.6104 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0279 | Sem Loss: -0.0050 | Con Loss: 1.8340 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.3245
Step 110 | Total Loss: 0.0163 | Sem Loss: -0.0050 | Con Loss: 1.6270 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0219 | Sem Loss: -0.0042 | Con Loss: 1.7490 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0169 | Sem Loss: -0.0046 | Con Loss: 1.4238 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0200 | Sem Loss: -0.0028 | Con Loss: 1.8643 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0208 | Sem Loss: -0.0055 | Con Loss: 1.6006 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0155 | Sem Loss: -0.0054 | Con Loss: 1.5176 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0130 | Sem Loss: -0.0050 | Con Loss: 1.4346 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0154 | Sem Loss: -0.0049 | Con Loss: 1.3809 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0150 | Sem Loss: -0.0049 | Con Loss: 1.2842 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0134 | Sem Loss: -0.0062 | Con Loss: 1.3242 | Sem Penalty: 0.0000 | Lam: 0.0097
      Step 200 | Scalar Projection: 0.4055
Step 210 | Total Loss: 0.0158 | Sem Loss: -0.0048 | Con Loss: 1.3721 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 220 | Total Loss: 0.0135 | Sem Loss: -0.0054 | Con Loss: 1.3496 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 230 | Total Loss: 0.0130 | Sem Loss: -0.0056 | Con Loss: 1.4346 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 240 | Total Loss: 0.0157 | Sem Loss: -0.0068 | Con Loss: 1.5459 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 250 | Total Loss: 0.0129 | Sem Loss: -0.0057 | Con Loss: 1.3076 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 260 | Total Loss: 0.0117 | Sem Loss: -0.0064 | Con Loss: 1.4863 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 270 | Total Loss: 0.0110 | Sem Loss: -0.0071 | Con Loss: 1.3887 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 280 | Total Loss: 0.0107 | Sem Loss: -0.0074 | Con Loss: 1.6025 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 290 | Total Loss: 0.0166 | Sem Loss: -0.0049 | Con Loss: 1.9189 | Sem Penalty: 0.0000 | Lam: 0.0093
Step 300 | Total Loss: 0.0110 | Sem Loss: -0.0076 | Con Loss: 1.5078 | Sem Penalty: 0.0000 | Lam: 0.0093
      Step 300 | Scalar Projection: 0.4929
Step 310 | Total Loss: 0.0131 | Sem Loss: -0.0061 | Con Loss: 1.5674 | Sem Penalty: 0.0000 | Lam: 0.0093
Step 320 | Total Loss: 0.0113 | Sem Loss: -0.0070 | Con Loss: 1.4580 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 330 | Total Loss: 0.0102 | Sem Loss: -0.0082 | Con Loss: 1.5146 | Sem Penalty: 0.0000 | Lam: 0.0092
Step 340 | Total Loss: 0.0094 | Sem Loss: -0.0083 | Con Loss: 1.5850 | Sem Penalty: 0.0000 | Lam: 0.0091
Step 350 | Total Loss: 0.0109 | Sem Loss: -0.0076 | Con Loss: 1.4189 | Sem Penalty: 0.0000 | Lam: 0.0091
Step 360 | Total Loss: 0.0104 | Sem Loss: -0.0086 | Con Loss: 1.5498 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 370 | Total Loss: 0.0094 | Sem Loss: -0.0091 | Con Loss: 1.6436 | Sem Penalty: 0.0000 | Lam: 0.0090
Step 380 | Total Loss: 0.0078 | Sem Loss: -0.0092 | Con Loss: 1.5303 | Sem Penalty: 0.0000 | Lam: 0.0089
Step 390 | Total Loss: 0.0093 | Sem Loss: -0.0088 | Con Loss: 1.5176 | Sem Penalty: 0.0000 | Lam: 0.0088
Step 400 | Total Loss: 0.0079 | Sem Loss: -0.0086 | Con Loss: 1.5352 | Sem Penalty: 0.0000 | Lam: 0.0088
      Step 400 | Scalar Projection: 0.5610
Step 410 | Total Loss: 0.0078 | Sem Loss: -0.0096 | Con Loss: 1.6270 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 420 | Total Loss: 0.0121 | Sem Loss: -0.0097 | Con Loss: 1.6982 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 430 | Total Loss: 0.0086 | Sem Loss: -0.0107 | Con Loss: 1.6367 | Sem Penalty: 0.0000 | Lam: 0.0086
Step 440 | Total Loss: 0.0073 | Sem Loss: -0.0116 | Con Loss: 1.8350 | Sem Penalty: 0.0000 | Lam: 0.0086
Step 450 | Total Loss: 0.0056 | Sem Loss: -0.0104 | Con Loss: 1.5674 | Sem Penalty: 0.0000 | Lam: 0.0085
Step 460 | Total Loss: 0.0054 | Sem Loss: -0.0106 | Con Loss: 1.5791 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 470 | Total Loss: 0.0065 | Sem Loss: -0.0115 | Con Loss: 1.7197 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 480 | Total Loss: 0.0146 | Sem Loss: -0.0120 | Con Loss: 1.9521 | Sem Penalty: 0.0000 | Lam: 0.0083
Step 490 | Total Loss: 0.0046 | Sem Loss: -0.0120 | Con Loss: 1.6758 | Sem Penalty: 0.0000 | Lam: 0.0082
