Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0218 | Sem Loss: -0.0011 | Con Loss: 1.5098 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0177 | Sem Loss: -0.0030 | Con Loss: 1.6240 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0151 | Sem Loss: -0.0021 | Con Loss: 1.0703 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0164 | Sem Loss: -0.0022 | Con Loss: 1.4258 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0149 | Sem Loss: -0.0020 | Con Loss: 0.8696 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0146 | Sem Loss: -0.0022 | Con Loss: 1.0195 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0161 | Sem Loss: -0.0022 | Con Loss: 1.3184 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0173 | Sem Loss: -0.0006 | Con Loss: 1.0576 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0138 | Sem Loss: -0.0008 | Con Loss: 0.9092 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0148 | Sem Loss: -0.0016 | Con Loss: 1.2109 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.1067
Step 110 | Total Loss: 0.0128 | Sem Loss: -0.0023 | Con Loss: 1.0527 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0144 | Sem Loss: -0.0017 | Con Loss: 0.8926 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0137 | Sem Loss: -0.0015 | Con Loss: 1.0527 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0129 | Sem Loss: -0.0014 | Con Loss: 1.0840 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0113 | Sem Loss: -0.0017 | Con Loss: 0.8481 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0146 | Sem Loss: -0.0016 | Con Loss: 1.1309 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0119 | Sem Loss: -0.0024 | Con Loss: 1.1533 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0147 | Sem Loss: -0.0023 | Con Loss: 1.0049 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0102 | Sem Loss: -0.0021 | Con Loss: 0.9746 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0105 | Sem Loss: -0.0019 | Con Loss: 0.8862 | Sem Penalty: 0.0000 | Lam: 0.0097
      Step 200 | Scalar Projection: 0.1242
Step 210 | Total Loss: 0.0095 | Sem Loss: -0.0018 | Con Loss: 0.8350 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 220 | Total Loss: 0.0114 | Sem Loss: -0.0014 | Con Loss: 0.8945 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 230 | Total Loss: 0.0097 | Sem Loss: -0.0023 | Con Loss: 0.7993 | Sem Penalty: 0.0000 | Lam: 0.0096
Step 240 | Total Loss: 0.0090 | Sem Loss: -0.0019 | Con Loss: 0.8804 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 250 | Total Loss: 0.0095 | Sem Loss: -0.0024 | Con Loss: 0.8076 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 260 | Total Loss: 0.0092 | Sem Loss: -0.0022 | Con Loss: 0.8638 | Sem Penalty: 0.0000 | Lam: 0.0095
Step 270 | Total Loss: 0.0089 | Sem Loss: -0.0029 | Con Loss: 0.9082 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 280 | Total Loss: 0.0086 | Sem Loss: -0.0025 | Con Loss: 0.8403 | Sem Penalty: 0.0000 | Lam: 0.0094
