Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0386 | Sem Loss: -0.0037 | Con Loss: 2.8301 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0352 | Sem Loss: -0.0049 | Con Loss: 2.5000 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0369 | Sem Loss: -0.0052 | Con Loss: 2.9727 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0358 | Sem Loss: -0.0076 | Con Loss: 2.9297 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0296 | Sem Loss: -0.0060 | Con Loss: 2.0625 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0309 | Sem Loss: -0.0068 | Con Loss: 2.3359 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0323 | Sem Loss: -0.0042 | Con Loss: 2.8984 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0291 | Sem Loss: -0.0049 | Con Loss: 1.9590 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0320 | Sem Loss: -0.0061 | Con Loss: 2.4219 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0277 | Sem Loss: -0.0067 | Con Loss: 2.2168 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.4365
Step 110 | Total Loss: 0.0253 | Sem Loss: -0.0062 | Con Loss: 2.1133 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0244 | Sem Loss: -0.0080 | Con Loss: 1.9375 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0249 | Sem Loss: -0.0080 | Con Loss: 2.0527 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0206 | Sem Loss: -0.0083 | Con Loss: 1.8770 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0242 | Sem Loss: -0.0080 | Con Loss: 2.1035 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0202 | Sem Loss: -0.0091 | Con Loss: 2.1543 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0240 | Sem Loss: -0.0075 | Con Loss: 1.8174 | Sem Penalty: 0.0000 | Lam: 0.0098
