Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0160 | Sem Loss: -0.0024 | Con Loss: 1.3965 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  20 | Total Loss: 0.0209 | Sem Loss: -0.0052 | Con Loss: 2.2969 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  30 | Total Loss: 0.0257 | Sem Loss: -0.0006 | Con Loss: 2.1387 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  40 | Total Loss: 0.0135 | Sem Loss: -0.0033 | Con Loss: 1.5215 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  50 | Total Loss: 0.0129 | Sem Loss: -0.0030 | Con Loss: 1.6230 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  60 | Total Loss: 0.0106 | Sem Loss: -0.0025 | Con Loss: 1.5459 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  70 | Total Loss: 0.0136 | Sem Loss: -0.0026 | Con Loss: 1.1406 | Sem Penalty: 0.0000 | Lam: 0.0100
Step  80 | Total Loss: 0.0157 | Sem Loss: -0.0062 | Con Loss: 1.6680 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  90 | Total Loss: 0.0106 | Sem Loss: -0.0034 | Con Loss: 1.2061 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 100 | Total Loss: 0.0143 | Sem Loss: -0.0047 | Con Loss: 1.5703 | Sem Penalty: 0.0000 | Lam: 0.0099
      Step 100 | Scalar Projection: 0.3040
Step 110 | Total Loss: 0.0136 | Sem Loss: -0.0024 | Con Loss: 1.1250 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 120 | Total Loss: 0.0130 | Sem Loss: -0.0031 | Con Loss: 1.2871 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 130 | Total Loss: 0.0135 | Sem Loss: -0.0039 | Con Loss: 1.3340 | Sem Penalty: 0.0000 | Lam: 0.0099
Step 140 | Total Loss: 0.0128 | Sem Loss: -0.0033 | Con Loss: 1.3281 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 150 | Total Loss: 0.0084 | Sem Loss: -0.0066 | Con Loss: 1.3906 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 160 | Total Loss: 0.0092 | Sem Loss: -0.0063 | Con Loss: 1.3896 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 170 | Total Loss: 0.0100 | Sem Loss: -0.0055 | Con Loss: 1.3896 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 180 | Total Loss: 0.0114 | Sem Loss: -0.0079 | Con Loss: 1.8955 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 190 | Total Loss: 0.0108 | Sem Loss: -0.0052 | Con Loss: 1.4375 | Sem Penalty: 0.0000 | Lam: 0.0097
Step 200 | Total Loss: 0.0134 | Sem Loss: -0.0047 | Con Loss: 1.7393 | Sem Penalty: 0.0000 | Lam: 0.0097
