Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0100 | Sem Loss: -0.0013 | Con Loss: 0.4534 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0088 | Sem Loss: -0.0012 | Con Loss: 0.3757 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0095 | Sem Loss: -0.0009 | Con Loss: 0.3938 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0077 | Sem Loss: -0.0010 | Con Loss: 0.3943 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0074 | Sem Loss: -0.0013 | Con Loss: 0.3604 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0067 | Sem Loss: -0.0010 | Con Loss: 0.3467 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0061 | Sem Loss: -0.0011 | Con Loss: 0.3445 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0060 | Sem Loss: -0.0011 | Con Loss: 0.3286 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0060 | Sem Loss: -0.0014 | Con Loss: 0.3474 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0073 | Sem Loss: -0.0013 | Con Loss: 0.3743 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.0854
Step 110 | Total Loss: 0.0054 | Sem Loss: -0.0012 | Con Loss: 0.3550 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0055 | Sem Loss: -0.0013 | Con Loss: 0.3452 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0046 | Sem Loss: -0.0014 | Con Loss: 0.3401 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0047 | Sem Loss: -0.0013 | Con Loss: 0.3914 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0044 | Sem Loss: -0.0017 | Con Loss: 0.4690 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0039 | Sem Loss: -0.0012 | Con Loss: 0.3464 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0036 | Sem Loss: -0.0016 | Con Loss: 0.3562 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0040 | Sem Loss: -0.0021 | Con Loss: 0.4346 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0037 | Sem Loss: -0.0018 | Con Loss: 0.4255 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0034 | Sem Loss: -0.0018 | Con Loss: 0.3591 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.1161
Step 210 | Total Loss: 0.0032 | Sem Loss: -0.0017 | Con Loss: 0.3723 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0028 | Sem Loss: -0.0021 | Con Loss: 0.4182 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0025 | Sem Loss: -0.0022 | Con Loss: 0.4580 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0021 | Sem Loss: -0.0022 | Con Loss: 0.4543 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0017 | Sem Loss: -0.0023 | Con Loss: 0.4263 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0016 | Sem Loss: -0.0021 | Con Loss: 0.4409 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0013 | Sem Loss: -0.0026 | Con Loss: 0.4844 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0013 | Sem Loss: -0.0026 | Con Loss: 0.4902 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0009 | Sem Loss: -0.0028 | Con Loss: 0.5229 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: 0.0005 | Sem Loss: -0.0025 | Con Loss: 0.4951 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 0.1647
Step 310 | Total Loss: 0.0002 | Sem Loss: -0.0031 | Con Loss: 0.5513 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0001 | Sem Loss: -0.0033 | Con Loss: 0.6172 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0004 | Sem Loss: -0.0031 | Con Loss: 0.6040 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0010 | Sem Loss: -0.0033 | Con Loss: 0.6182 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0015 | Sem Loss: -0.0036 | Con Loss: 0.6758 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0019 | Sem Loss: -0.0040 | Con Loss: 0.8076 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0023 | Sem Loss: -0.0043 | Con Loss: 0.8262 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0032 | Sem Loss: -0.0047 | Con Loss: 0.8574 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0035 | Sem Loss: -0.0051 | Con Loss: 0.9297 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0043 | Sem Loss: -0.0056 | Con Loss: 1.0801 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 0.3645
Step 410 | Total Loss: -0.0051 | Sem Loss: -0.0064 | Con Loss: 1.2627 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0059 | Sem Loss: -0.0063 | Con Loss: 1.2207 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0070 | Sem Loss: -0.0074 | Con Loss: 1.5322 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0092 | Sem Loss: -0.0089 | Con Loss: 1.7939 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0115 | Sem Loss: -0.0104 | Con Loss: 2.1113 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0162 | Sem Loss: -0.0130 | Con Loss: 2.6230 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0228 | Sem Loss: -0.0149 | Con Loss: 3.0898 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.0234 | Sem Loss: -0.0170 | Con Loss: 3.4453 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.0401 | Sem Loss: -0.0193 | Con Loss: 3.8984 | Sem Penalty: 0.0000 | Lam: 0.0028
