Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0270 | Sem Loss: -0.0068 | Con Loss: 3.2676 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0228 | Sem Loss: -0.0028 | Con Loss: 1.9756 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0212 | Sem Loss: -0.0048 | Con Loss: 2.0195 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0209 | Sem Loss: -0.0049 | Con Loss: 2.7891 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0215 | Sem Loss: -0.0061 | Con Loss: 2.3125 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0163 | Sem Loss: -0.0049 | Con Loss: 1.7617 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0156 | Sem Loss: -0.0073 | Con Loss: 1.9385 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0152 | Sem Loss: -0.0048 | Con Loss: 2.0273 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0140 | Sem Loss: -0.0060 | Con Loss: 1.8799 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0141 | Sem Loss: -0.0053 | Con Loss: 1.8018 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.3440
Step 110 | Total Loss: 0.0131 | Sem Loss: -0.0072 | Con Loss: 1.9209 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0129 | Sem Loss: -0.0078 | Con Loss: 1.8271 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0105 | Sem Loss: -0.0072 | Con Loss: 1.9199 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0129 | Sem Loss: -0.0076 | Con Loss: 2.2695 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0103 | Sem Loss: -0.0096 | Con Loss: 2.1094 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0089 | Sem Loss: -0.0097 | Con Loss: 1.9277 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0116 | Sem Loss: -0.0086 | Con Loss: 2.1523 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0072 | Sem Loss: -0.0097 | Con Loss: 2.1758 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0069 | Sem Loss: -0.0092 | Con Loss: 2.1406 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0060 | Sem Loss: -0.0096 | Con Loss: 2.0879 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.6270
Step 210 | Total Loss: 0.0055 | Sem Loss: -0.0121 | Con Loss: 2.8691 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0039 | Sem Loss: -0.0113 | Con Loss: 2.1367 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0035 | Sem Loss: -0.0122 | Con Loss: 2.3887 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0024 | Sem Loss: -0.0125 | Con Loss: 2.3145 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0033 | Sem Loss: -0.0141 | Con Loss: 2.3652 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0002 | Sem Loss: -0.0152 | Con Loss: 2.6602 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: -0.0011 | Sem Loss: -0.0153 | Con Loss: 2.4375 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: -0.0029 | Sem Loss: -0.0177 | Con Loss: 2.7188 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: -0.0038 | Sem Loss: -0.0198 | Con Loss: 3.1270 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0039 | Sem Loss: -0.0194 | Con Loss: 3.1875 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.2617
Step 310 | Total Loss: -0.0071 | Sem Loss: -0.0243 | Con Loss: 3.6953 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0075 | Sem Loss: -0.0234 | Con Loss: 3.6309 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0112 | Sem Loss: -0.0297 | Con Loss: 4.6562 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0125 | Sem Loss: -0.0411 | Con Loss: 7.5039 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0180 | Sem Loss: -0.0438 | Con Loss: 7.3086 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0197 | Sem Loss: -0.0473 | Con Loss: 7.6914 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0273 | Sem Loss: -0.0646 | Con Loss: 10.6953 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0330 | Sem Loss: -0.0722 | Con Loss: 12.3594 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0397 | Sem Loss: -0.0824 | Con Loss: 14.3047 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0478 | Sem Loss: -0.1080 | Con Loss: 17.9844 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 7.0234
Step 410 | Total Loss: -0.0566 | Sem Loss: -0.1398 | Con Loss: 26.4688 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0720 | Sem Loss: -0.1873 | Con Loss: 33.6250 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0765 | Sem Loss: -0.1544 | Con Loss: 24.8906 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0964 | Sem Loss: -0.2500 | Con Loss: 39.9375 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.1052 | Sem Loss: -0.2461 | Con Loss: 39.6562 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.1282 | Sem Loss: -0.2891 | Con Loss: 47.9062 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.1423 | Sem Loss: -0.3120 | Con Loss: 50.1875 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.1605 | Sem Loss: -0.3628 | Con Loss: 59.4062 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.1934 | Sem Loss: -0.4343 | Con Loss: 78.1875 | Sem Penalty: 0.0000 | Lam: 0.0028
