Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0319 | Sem Loss: 0.0066 | Con Loss: 4.0820 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0328 | Sem Loss: 0.0005 | Con Loss: 3.6562 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0296 | Sem Loss: 0.0041 | Con Loss: 3.7012 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0230 | Sem Loss: -0.0012 | Con Loss: 3.3789 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0218 | Sem Loss: -0.0030 | Con Loss: 3.1152 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0187 | Sem Loss: -0.0009 | Con Loss: 2.9180 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0226 | Sem Loss: 0.0022 | Con Loss: 5.5391 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0208 | Sem Loss: -0.0045 | Con Loss: 3.7324 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0178 | Sem Loss: -0.0027 | Con Loss: 2.7578 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0168 | Sem Loss: -0.0019 | Con Loss: 2.5547 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.1244
Step 110 | Total Loss: 0.0159 | Sem Loss: -0.0028 | Con Loss: 2.8398 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0146 | Sem Loss: -0.0042 | Con Loss: 2.8398 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0168 | Sem Loss: -0.0049 | Con Loss: 3.0469 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0129 | Sem Loss: -0.0026 | Con Loss: 2.5938 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0131 | Sem Loss: -0.0076 | Con Loss: 3.3203 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0103 | Sem Loss: -0.0050 | Con Loss: 2.8066 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0126 | Sem Loss: -0.0061 | Con Loss: 2.8887 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0092 | Sem Loss: -0.0089 | Con Loss: 3.3652 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0088 | Sem Loss: -0.0091 | Con Loss: 3.0684 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0103 | Sem Loss: -0.0088 | Con Loss: 3.0410 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.5693
Step 210 | Total Loss: 0.0098 | Sem Loss: -0.0114 | Con Loss: 4.0820 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0055 | Sem Loss: -0.0128 | Con Loss: 3.6562 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0064 | Sem Loss: -0.0124 | Con Loss: 3.0996 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0024 | Sem Loss: -0.0147 | Con Loss: 3.8828 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0016 | Sem Loss: -0.0162 | Con Loss: 3.4941 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0015 | Sem Loss: -0.0164 | Con Loss: 4.2383 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0013 | Sem Loss: -0.0185 | Con Loss: 5.0156 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: -0.0020 | Sem Loss: -0.0207 | Con Loss: 4.4219 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: -0.0031 | Sem Loss: -0.0220 | Con Loss: 4.2539 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0043 | Sem Loss: -0.0224 | Con Loss: 4.2461 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.4561
Step 310 | Total Loss: -0.0057 | Sem Loss: -0.0278 | Con Loss: 5.4688 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0082 | Sem Loss: -0.0317 | Con Loss: 6.3242 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0102 | Sem Loss: -0.0341 | Con Loss: 6.1953 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0122 | Sem Loss: -0.0381 | Con Loss: 6.7266 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0156 | Sem Loss: -0.0458 | Con Loss: 8.3906 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0179 | Sem Loss: -0.0446 | Con Loss: 7.5547 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0225 | Sem Loss: -0.0649 | Con Loss: 11.3516 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0268 | Sem Loss: -0.0682 | Con Loss: 11.5703 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0358 | Sem Loss: -0.0955 | Con Loss: 16.4531 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0479 | Sem Loss: -0.1171 | Con Loss: 21.3594 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 7.6133
Step 410 | Total Loss: -0.0514 | Sem Loss: -0.1188 | Con Loss: 21.7969 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0624 | Sem Loss: -0.1263 | Con Loss: 22.8281 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0797 | Sem Loss: -0.1520 | Con Loss: 27.0938 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0802 | Sem Loss: -0.1471 | Con Loss: 27.3750 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.1060 | Sem Loss: -0.1919 | Con Loss: 33.6875 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.1268 | Sem Loss: -0.2086 | Con Loss: 36.0938 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.1405 | Sem Loss: -0.2529 | Con Loss: 46.0625 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.1494 | Sem Loss: -0.2161 | Con Loss: 36.6562 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.1752 | Sem Loss: -0.2483 | Con Loss: 41.1562 | Sem Penalty: 0.0000 | Lam: 0.0028
