Baseline Output: The Weeknd performs at a live event, showcasing his distinctive style and captivating presence on stage.
Target Text: The Weeknd Performing at the Super Bowl Halftime Show, 2019

Step   0 | Token 0: GT: 'The' | Pred: ' Week'
Step   0 | Token 1: GT: ' Week' | Pred: 'nd'
Step   0 | Token 2: GT: 'nd' | Pred: ' performs'
Step   0 | Token 3: GT: ' Performing' | Pred: ' at'
Step   0 | Token 4: GT: ' at' | Pred: ' the'
Step   0 | Token 5: GT: ' the' | Pred: ' Super'
Step   0 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step   0 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step   0 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step   0 | Token 9: GT: 'ftime' | Pred: ' Show'
Step   0 | Token 10: GT: ' Show' | Pred: '.'
Step   0 | Token 11: GT: ',' | Pred: ' '
Step   0 | Token 12: GT: ' ' | Pred: '2'
Step   0 | Token 13: GT: '2' | Pred: '0'
Step   0 | Token 14: GT: '0' | Pred: '2'
Step   0 | Token 15: GT: '1' | Pred: '9'
Step   0 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step  50 | Token 0: GT: 'The' | Pred: ' Week'
Step  50 | Token 1: GT: ' Week' | Pred: 'nd'
Step  50 | Token 2: GT: 'nd' | Pred: ' performs'
Step  50 | Token 3: GT: ' Performing' | Pred: ' at'
Step  50 | Token 4: GT: ' at' | Pred: ' a'
Step  50 | Token 5: GT: ' the' | Pred: ' Super'
Step  50 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step  50 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step  50 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step  50 | Token 9: GT: 'ftime' | Pred: ' Show'
Step  50 | Token 10: GT: ' Show' | Pred: '.'
Step  50 | Token 11: GT: ',' | Pred: ' '
Step  50 | Token 12: GT: ' ' | Pred: '2'
Step  50 | Token 13: GT: '2' | Pred: '0'
Step  50 | Token 14: GT: '0' | Pred: '2'
Step  50 | Token 15: GT: '1' | Pred: '9'
Step  50 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 100 | Token 0: GT: 'The' | Pred: ' Week'
Step 100 | Token 1: GT: ' Week' | Pred: 'nd'
Step 100 | Token 2: GT: 'nd' | Pred: ' performs'
Step 100 | Token 3: GT: ' Performing' | Pred: ' at'
Step 100 | Token 4: GT: ' at' | Pred: ' a'
Step 100 | Token 5: GT: ' the' | Pred: ' Super'
Step 100 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 100 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 100 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 100 | Token 9: GT: 'ftime' | Pred: ' Show'
