Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0263 | Sem Loss: -0.0006 | Con Loss: 1.6074 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0374 | Sem Loss: -0.0038 | Con Loss: 3.2031 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0238 | Sem Loss: -0.0044 | Con Loss: 1.7783 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0257 | Sem Loss: -0.0038 | Con Loss: 1.6631 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0233 | Sem Loss: -0.0029 | Con Loss: 2.3789 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0222 | Sem Loss: -0.0048 | Con Loss: 1.7432 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0206 | Sem Loss: -0.0045 | Con Loss: 1.7402 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0172 | Sem Loss: -0.0062 | Con Loss: 1.6094 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0134 | Sem Loss: -0.0059 | Con Loss: 1.5898 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0174 | Sem Loss: -0.0072 | Con Loss: 1.8740 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.4675
Step 110 | Total Loss: 0.0114 | Sem Loss: -0.0065 | Con Loss: 1.6758 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0153 | Sem Loss: -0.0060 | Con Loss: 1.6855 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0150 | Sem Loss: -0.0059 | Con Loss: 1.7461 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0111 | Sem Loss: -0.0082 | Con Loss: 1.7168 | Sem Penalty: 0.0000 | Lam: 0.0080
