Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0179 | Sem Loss: -0.0010 | Con Loss: 1.1895 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0148 | Sem Loss: -0.0020 | Con Loss: 1.1416 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0168 | Sem Loss: -0.0014 | Con Loss: 1.3867 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0135 | Sem Loss: -0.0023 | Con Loss: 1.1963 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0151 | Sem Loss: -0.0026 | Con Loss: 1.5312 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0161 | Sem Loss: -0.0031 | Con Loss: 1.5732 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0141 | Sem Loss: -0.0020 | Con Loss: 1.1416 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0110 | Sem Loss: -0.0012 | Con Loss: 0.8652 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0111 | Sem Loss: -0.0023 | Con Loss: 1.0410 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0103 | Sem Loss: -0.0020 | Con Loss: 0.9351 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.1329
Step 110 | Total Loss: 0.0097 | Sem Loss: -0.0020 | Con Loss: 0.9336 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0118 | Sem Loss: -0.0040 | Con Loss: 1.4639 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0086 | Sem Loss: -0.0022 | Con Loss: 0.9878 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0087 | Sem Loss: -0.0028 | Con Loss: 1.0801 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0095 | Sem Loss: -0.0032 | Con Loss: 1.1406 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0120 | Sem Loss: -0.0024 | Con Loss: 0.9995 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0079 | Sem Loss: -0.0031 | Con Loss: 1.0928 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0078 | Sem Loss: -0.0024 | Con Loss: 0.9639 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0066 | Sem Loss: -0.0024 | Con Loss: 0.9658 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0062 | Sem Loss: -0.0031 | Con Loss: 1.0752 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.1995
