Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0422 | Sem Loss: -0.0011 | Con Loss: 2.8008 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0333 | Sem Loss: -0.0046 | Con Loss: 2.3477 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0315 | Sem Loss: -0.0064 | Con Loss: 2.6621 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0359 | Sem Loss: -0.0086 | Con Loss: 3.1367 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0310 | Sem Loss: -0.0068 | Con Loss: 2.8574 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0327 | Sem Loss: -0.0066 | Con Loss: 3.1914 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0277 | Sem Loss: -0.0088 | Con Loss: 2.7539 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0253 | Sem Loss: -0.0085 | Con Loss: 2.5605 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0254 | Sem Loss: -0.0080 | Con Loss: 2.5566 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0238 | Sem Loss: -0.0081 | Con Loss: 2.5430 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.5234
Step 110 | Total Loss: 0.0221 | Sem Loss: -0.0102 | Con Loss: 2.7539 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0189 | Sem Loss: -0.0114 | Con Loss: 2.5430 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0186 | Sem Loss: -0.0125 | Con Loss: 2.9023 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0174 | Sem Loss: -0.0116 | Con Loss: 2.7070 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0186 | Sem Loss: -0.0124 | Con Loss: 2.8008 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0176 | Sem Loss: -0.0117 | Con Loss: 2.8672 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0159 | Sem Loss: -0.0113 | Con Loss: 2.5527 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0204 | Sem Loss: -0.0090 | Con Loss: 3.7559 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0222 | Sem Loss: -0.0053 | Con Loss: 2.5215 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0141 | Sem Loss: -0.0117 | Con Loss: 3.1602 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.7632
Step 210 | Total Loss: 0.0122 | Sem Loss: -0.0139 | Con Loss: 2.9668 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0097 | Sem Loss: -0.0149 | Con Loss: 3.2266 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0094 | Sem Loss: -0.0159 | Con Loss: 3.5176 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0080 | Sem Loss: -0.0177 | Con Loss: 3.3066 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0056 | Sem Loss: -0.0226 | Con Loss: 4.3008 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0044 | Sem Loss: -0.0212 | Con Loss: 3.7129 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0032 | Sem Loss: -0.0190 | Con Loss: 3.5332 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0014 | Sem Loss: -0.0198 | Con Loss: 3.5898 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0043 | Sem Loss: -0.0165 | Con Loss: 3.4082 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: 0.0017 | Sem Loss: -0.0194 | Con Loss: 3.6113 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.2617
Step 310 | Total Loss: -0.0015 | Sem Loss: -0.0207 | Con Loss: 3.7090 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0014 | Sem Loss: -0.0221 | Con Loss: 4.0820 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0044 | Sem Loss: -0.0247 | Con Loss: 4.3164 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0053 | Sem Loss: -0.0259 | Con Loss: 4.4492 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0087 | Sem Loss: -0.0305 | Con Loss: 4.8750 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0099 | Sem Loss: -0.0294 | Con Loss: 4.9258 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0147 | Sem Loss: -0.0367 | Con Loss: 5.6250 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0167 | Sem Loss: -0.0378 | Con Loss: 5.9961 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0247 | Sem Loss: -0.0598 | Con Loss: 9.4062 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0257 | Sem Loss: -0.0578 | Con Loss: 8.8906 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 3.7598
Step 410 | Total Loss: -0.0296 | Sem Loss: -0.0627 | Con Loss: 9.6172 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0528 | Sem Loss: -0.0983 | Con Loss: 14.4141 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0682 | Sem Loss: -0.1370 | Con Loss: 20.8125 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0817 | Sem Loss: -0.1787 | Con Loss: 27.0938 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.1196 | Sem Loss: -0.2334 | Con Loss: 38.1250 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.1099 | Sem Loss: -0.1851 | Con Loss: 28.0312 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.1433 | Sem Loss: -0.2542 | Con Loss: 40.2812 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.1838 | Sem Loss: -0.3323 | Con Loss: 54.7188 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.1804 | Sem Loss: -0.3359 | Con Loss: 61.0000 | Sem Penalty: 0.0000 | Lam: 0.0028
