Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0272 | Sem Loss: -0.0078 | Con Loss: 3.1934 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0147 | Sem Loss: -0.0039 | Con Loss: 1.6143 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0165 | Sem Loss: -0.0047 | Con Loss: 2.2266 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0171 | Sem Loss: -0.0021 | Con Loss: 1.3916 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0124 | Sem Loss: -0.0040 | Con Loss: 1.5879 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0122 | Sem Loss: -0.0036 | Con Loss: 1.4092 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0128 | Sem Loss: -0.0036 | Con Loss: 1.7451 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0113 | Sem Loss: -0.0063 | Con Loss: 1.9336 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0094 | Sem Loss: -0.0068 | Con Loss: 1.5693 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0113 | Sem Loss: -0.0084 | Con Loss: 2.0879 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.5449
Step 110 | Total Loss: 0.0075 | Sem Loss: -0.0067 | Con Loss: 1.5479 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0091 | Sem Loss: -0.0079 | Con Loss: 1.6797 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0074 | Sem Loss: -0.0089 | Con Loss: 1.8164 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0051 | Sem Loss: -0.0087 | Con Loss: 1.5586 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0060 | Sem Loss: -0.0090 | Con Loss: 1.7188 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0069 | Sem Loss: -0.0077 | Con Loss: 1.8750 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0041 | Sem Loss: -0.0081 | Con Loss: 1.6152 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0045 | Sem Loss: -0.0099 | Con Loss: 1.8145 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0055 | Sem Loss: -0.0089 | Con Loss: 1.8633 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0043 | Sem Loss: -0.0079 | Con Loss: 1.5742 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.5127
Step 210 | Total Loss: 0.0072 | Sem Loss: -0.0091 | Con Loss: 2.0742 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0007 | Sem Loss: -0.0117 | Con Loss: 1.9473 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: -0.0002 | Sem Loss: -0.0143 | Con Loss: 2.3066 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0006 | Sem Loss: -0.0165 | Con Loss: 2.7988 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0000 | Sem Loss: -0.0139 | Con Loss: 2.3359 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: -0.0023 | Sem Loss: -0.0184 | Con Loss: 2.8379 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: -0.0029 | Sem Loss: -0.0201 | Con Loss: 3.0781 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: -0.0040 | Sem Loss: -0.0203 | Con Loss: 3.0566 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: -0.0050 | Sem Loss: -0.0229 | Con Loss: 3.5117 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0063 | Sem Loss: -0.0303 | Con Loss: 4.8984 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.9688
Step 310 | Total Loss: -0.0093 | Sem Loss: -0.0337 | Con Loss: 5.1016 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0115 | Sem Loss: -0.0363 | Con Loss: 5.4922 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0153 | Sem Loss: -0.0459 | Con Loss: 6.5820 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0184 | Sem Loss: -0.0581 | Con Loss: 8.8047 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0193 | Sem Loss: -0.0522 | Con Loss: 7.6758 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0256 | Sem Loss: -0.0716 | Con Loss: 10.8672 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0327 | Sem Loss: -0.1015 | Con Loss: 16.7188 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0413 | Sem Loss: -0.1246 | Con Loss: 20.2188 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0347 | Sem Loss: -0.0918 | Con Loss: 13.8594 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0540 | Sem Loss: -0.1621 | Con Loss: 28.0000 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 10.5391
Step 410 | Total Loss: -0.0739 | Sem Loss: -0.1757 | Con Loss: 26.8281 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0886 | Sem Loss: -0.2061 | Con Loss: 34.0000 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.1066 | Sem Loss: -0.2559 | Con Loss: 43.1875 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.1125 | Sem Loss: -0.2622 | Con Loss: 44.6562 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.1537 | Sem Loss: -0.3157 | Con Loss: 52.4688 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.1582 | Sem Loss: -0.3110 | Con Loss: 51.7500 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.1801 | Sem Loss: -0.3179 | Con Loss: 50.5000 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.2191 | Sem Loss: -0.4026 | Con Loss: 64.5000 | Sem Penalty: 0.0000 | Lam: 0.0030
