Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0290 | Sem Loss: 0.0003 | Con Loss: 1.1777 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0225 | Sem Loss: -0.0010 | Con Loss: 1.5967 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0196 | Sem Loss: -0.0013 | Con Loss: 2.0547 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0202 | Sem Loss: -0.0027 | Con Loss: 1.7158 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0137 | Sem Loss: -0.0027 | Con Loss: 1.0625 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0143 | Sem Loss: -0.0033 | Con Loss: 1.7041 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0144 | Sem Loss: -0.0029 | Con Loss: 1.4492 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0129 | Sem Loss: -0.0027 | Con Loss: 1.3486 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0154 | Sem Loss: -0.0032 | Con Loss: 1.4443 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0130 | Sem Loss: -0.0038 | Con Loss: 1.5205 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.2502
Step 110 | Total Loss: 0.0113 | Sem Loss: -0.0033 | Con Loss: 1.3115 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0114 | Sem Loss: -0.0039 | Con Loss: 1.4814 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0113 | Sem Loss: -0.0037 | Con Loss: 1.3066 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0100 | Sem Loss: -0.0048 | Con Loss: 1.4834 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0079 | Sem Loss: -0.0041 | Con Loss: 1.4590 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0085 | Sem Loss: -0.0034 | Con Loss: 1.5439 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0091 | Sem Loss: -0.0047 | Con Loss: 1.7109 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0066 | Sem Loss: -0.0049 | Con Loss: 1.7803 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0092 | Sem Loss: -0.0041 | Con Loss: 1.4492 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0073 | Sem Loss: -0.0046 | Con Loss: 1.5586 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.2959
Step 210 | Total Loss: 0.0065 | Sem Loss: -0.0044 | Con Loss: 1.3320 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0055 | Sem Loss: -0.0053 | Con Loss: 1.4424 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0046 | Sem Loss: -0.0049 | Con Loss: 1.3955 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0051 | Sem Loss: -0.0060 | Con Loss: 1.5879 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0040 | Sem Loss: -0.0061 | Con Loss: 1.5957 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0049 | Sem Loss: -0.0048 | Con Loss: 2.1582 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0033 | Sem Loss: -0.0067 | Con Loss: 1.8994 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0024 | Sem Loss: -0.0071 | Con Loss: 1.7676 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0013 | Sem Loss: -0.0066 | Con Loss: 1.6113 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: 0.0012 | Sem Loss: -0.0069 | Con Loss: 1.7041 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 0.4500
Step 310 | Total Loss: 0.0004 | Sem Loss: -0.0080 | Con Loss: 2.0078 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0010 | Sem Loss: -0.0092 | Con Loss: 1.8955 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0016 | Sem Loss: -0.0094 | Con Loss: 2.0039 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0023 | Sem Loss: -0.0110 | Con Loss: 2.4355 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0029 | Sem Loss: -0.0110 | Con Loss: 2.6191 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0037 | Sem Loss: -0.0123 | Con Loss: 2.7109 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0050 | Sem Loss: -0.0142 | Con Loss: 3.1836 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0068 | Sem Loss: -0.0152 | Con Loss: 3.2422 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0076 | Sem Loss: -0.0170 | Con Loss: 3.5488 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0088 | Sem Loss: -0.0175 | Con Loss: 3.8418 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 1.1387
Step 410 | Total Loss: -0.0111 | Sem Loss: -0.0220 | Con Loss: 5.1484 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0129 | Sem Loss: -0.0242 | Con Loss: 5.6562 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0172 | Sem Loss: -0.0339 | Con Loss: 7.8945 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0201 | Sem Loss: -0.0367 | Con Loss: 7.5820 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0238 | Sem Loss: -0.0478 | Con Loss: 10.6719 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0337 | Sem Loss: -0.0650 | Con Loss: 14.2109 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0369 | Sem Loss: -0.0711 | Con Loss: 14.1953 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.0457 | Sem Loss: -0.0857 | Con Loss: 17.2656 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.0593 | Sem Loss: -0.1009 | Con Loss: 20.6719 | Sem Penalty: 0.0000 | Lam: 0.0028
