Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0707 | Sem Loss: -0.0018 | Con Loss: 2.3340 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.0531 | Sem Loss: -0.0016 | Con Loss: 1.2031 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0491 | Sem Loss: -0.0005 | Con Loss: 1.3203 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0522 | Sem Loss: 0.0001 | Con Loss: 1.4248 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0471 | Sem Loss: -0.0011 | Con Loss: 1.3184 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0512 | Sem Loss: 0.0006 | Con Loss: 1.2969 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0426 | Sem Loss: -0.0017 | Con Loss: 1.2666 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0476 | Sem Loss: 0.0000 | Con Loss: 1.5557 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0515 | Sem Loss: -0.0019 | Con Loss: 1.3203 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0377 | Sem Loss: -0.0015 | Con Loss: 1.0605 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.0970
Step 110 | Total Loss: 0.0444 | Sem Loss: -0.0011 | Con Loss: 1.2480 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0442 | Sem Loss: -0.0011 | Con Loss: 1.1797 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0402 | Sem Loss: -0.0030 | Con Loss: 1.3906 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0396 | Sem Loss: -0.0007 | Con Loss: 1.1172 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0321 | Sem Loss: -0.0024 | Con Loss: 1.2295 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0398 | Sem Loss: -0.0007 | Con Loss: 1.3115 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0357 | Sem Loss: -0.0012 | Con Loss: 1.1338 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0346 | Sem Loss: -0.0018 | Con Loss: 1.1387 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0351 | Sem Loss: 0.0002 | Con Loss: 1.3105 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0301 | Sem Loss: -0.0006 | Con Loss: 1.0215 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.0419
Step 210 | Total Loss: 0.0292 | Sem Loss: -0.0012 | Con Loss: 1.0625 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0284 | Sem Loss: -0.0030 | Con Loss: 1.1533 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0299 | Sem Loss: -0.0025 | Con Loss: 1.0811 | Sem Penalty: 0.0000 | Lam: 0.0190
Step 240 | Total Loss: 0.0241 | Sem Loss: -0.0026 | Con Loss: 1.0605 | Sem Penalty: 0.0000 | Lam: 0.0185
Step 250 | Total Loss: 0.0256 | Sem Loss: -0.0005 | Con Loss: 1.0986 | Sem Penalty: 0.0000 | Lam: 0.0180
Step 260 | Total Loss: 0.0257 | Sem Loss: -0.0031 | Con Loss: 1.0547 | Sem Penalty: 0.0000 | Lam: 0.0175
Step 270 | Total Loss: 0.0232 | Sem Loss: -0.0025 | Con Loss: 1.0352 | Sem Penalty: 0.0000 | Lam: 0.0170
Step 280 | Total Loss: 0.0226 | Sem Loss: -0.0017 | Con Loss: 0.9292 | Sem Penalty: 0.0000 | Lam: 0.0166
Step 290 | Total Loss: 0.0176 | Sem Loss: -0.0024 | Con Loss: 0.9287 | Sem Penalty: 0.0000 | Lam: 0.0161
Step 300 | Total Loss: 0.0184 | Sem Loss: -0.0029 | Con Loss: 0.8906 | Sem Penalty: 0.0000 | Lam: 0.0156
      Step 300 | Scalar Projection: 0.1903
Step 310 | Total Loss: 0.0174 | Sem Loss: -0.0043 | Con Loss: 1.0938 | Sem Penalty: 0.0000 | Lam: 0.0151
Step 320 | Total Loss: 0.0201 | Sem Loss: -0.0022 | Con Loss: 1.2441 | Sem Penalty: 0.0000 | Lam: 0.0146
Step 330 | Total Loss: 0.0153 | Sem Loss: -0.0038 | Con Loss: 0.9878 | Sem Penalty: 0.0000 | Lam: 0.0142
