Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0349 | Sem Loss: -0.0003 | Con Loss: 0.3059 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.0316 | Sem Loss: -0.0006 | Con Loss: 0.3311 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0316 | Sem Loss: -0.0005 | Con Loss: 0.3049 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0242 | Sem Loss: -0.0003 | Con Loss: 0.2386 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0268 | Sem Loss: -0.0009 | Con Loss: 0.3179 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0278 | Sem Loss: -0.0005 | Con Loss: 0.3525 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0241 | Sem Loss: -0.0004 | Con Loss: 0.2571 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0228 | Sem Loss: -0.0005 | Con Loss: 0.2876 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0219 | Sem Loss: -0.0009 | Con Loss: 0.2812 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0229 | Sem Loss: -0.0006 | Con Loss: 0.3359 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.0380
Step 110 | Total Loss: 0.0224 | Sem Loss: -0.0001 | Con Loss: 0.2866 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0214 | Sem Loss: -0.0002 | Con Loss: 0.2404 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0196 | Sem Loss: -0.0002 | Con Loss: 0.2747 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0185 | Sem Loss: -0.0005 | Con Loss: 0.3020 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0174 | Sem Loss: -0.0006 | Con Loss: 0.2598 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0182 | Sem Loss: -0.0005 | Con Loss: 0.3000 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0170 | Sem Loss: -0.0009 | Con Loss: 0.2568 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0157 | Sem Loss: -0.0005 | Con Loss: 0.2444 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0169 | Sem Loss: -0.0001 | Con Loss: 0.2229 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0149 | Sem Loss: -0.0002 | Con Loss: 0.2141 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.0101
Step 210 | Total Loss: 0.0145 | Sem Loss: -0.0009 | Con Loss: 0.2766 | Sem Penalty: 0.0000 | Lam: 0.0199
