Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0899 | Sem Loss: -0.0032 | Con Loss: 2.4688 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.0712 | Sem Loss: -0.0007 | Con Loss: 1.7695 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0565 | Sem Loss: -0.0006 | Con Loss: 1.4424 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0667 | Sem Loss: -0.0002 | Con Loss: 1.8086 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0635 | Sem Loss: -0.0011 | Con Loss: 1.6270 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0537 | Sem Loss: -0.0013 | Con Loss: 1.4453 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0717 | Sem Loss: -0.0015 | Con Loss: 2.3477 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0518 | Sem Loss: -0.0018 | Con Loss: 1.3721 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0565 | Sem Loss: -0.0014 | Con Loss: 2.0977 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0626 | Sem Loss: -0.0028 | Con Loss: 1.6650 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.1798
Step 110 | Total Loss: 0.0638 | Sem Loss: -0.0010 | Con Loss: 1.8896 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0623 | Sem Loss: -0.0007 | Con Loss: 1.9688 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0551 | Sem Loss: -0.0013 | Con Loss: 1.7207 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0466 | Sem Loss: -0.0018 | Con Loss: 1.3828 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0440 | Sem Loss: -0.0004 | Con Loss: 1.4443 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0426 | Sem Loss: -0.0035 | Con Loss: 1.5625 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0420 | Sem Loss: -0.0024 | Con Loss: 1.3770 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0400 | Sem Loss: -0.0027 | Con Loss: 1.2773 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0382 | Sem Loss: -0.0021 | Con Loss: 1.3359 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0393 | Sem Loss: -0.0014 | Con Loss: 1.8418 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.0884
Step 210 | Total Loss: 0.0383 | Sem Loss: -0.0030 | Con Loss: 1.6758 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0356 | Sem Loss: -0.0030 | Con Loss: 1.4531 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0376 | Sem Loss: -0.0039 | Con Loss: 1.4746 | Sem Penalty: 0.0000 | Lam: 0.0190
Step 240 | Total Loss: 0.0335 | Sem Loss: -0.0043 | Con Loss: 1.3428 | Sem Penalty: 0.0000 | Lam: 0.0185
Step 250 | Total Loss: 0.0351 | Sem Loss: -0.0032 | Con Loss: 1.4590 | Sem Penalty: 0.0000 | Lam: 0.0180
Step 260 | Total Loss: 0.0317 | Sem Loss: -0.0037 | Con Loss: 1.5488 | Sem Penalty: 0.0000 | Lam: 0.0175
