Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0831 | Sem Loss: -0.0025 | Con Loss: 2.5430 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.1092 | Sem Loss: -0.0015 | Con Loss: 4.0469 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0793 | Sem Loss: -0.0006 | Con Loss: 2.2246 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0704 | Sem Loss: -0.0007 | Con Loss: 2.0371 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0845 | Sem Loss: -0.0071 | Con Loss: 3.5566 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0673 | Sem Loss: -0.0039 | Con Loss: 2.5898 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0969 | Sem Loss: -0.0050 | Con Loss: 4.0469 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0627 | Sem Loss: -0.0017 | Con Loss: 2.0176 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0806 | Sem Loss: -0.0048 | Con Loss: 2.9824 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0598 | Sem Loss: -0.0007 | Con Loss: 1.9238 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.0437
Step 110 | Total Loss: 0.0615 | Sem Loss: 0.0017 | Con Loss: 2.5898 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0576 | Sem Loss: 0.0011 | Con Loss: 2.0703 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0637 | Sem Loss: 0.0004 | Con Loss: 2.5488 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0576 | Sem Loss: 0.0009 | Con Loss: 2.2773 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0594 | Sem Loss: -0.0036 | Con Loss: 1.9922 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0521 | Sem Loss: -0.0013 | Con Loss: 1.6064 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0485 | Sem Loss: 0.0004 | Con Loss: 2.2324 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0607 | Sem Loss: -0.0071 | Con Loss: 2.5742 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0518 | Sem Loss: -0.0053 | Con Loss: 2.1816 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0469 | Sem Loss: -0.0004 | Con Loss: 2.1738 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.0276
Step 210 | Total Loss: 0.0422 | Sem Loss: -0.0023 | Con Loss: 1.7178 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0418 | Sem Loss: -0.0048 | Con Loss: 1.6562 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0372 | Sem Loss: -0.0016 | Con Loss: 1.7969 | Sem Penalty: 0.0000 | Lam: 0.0190
Step 240 | Total Loss: 0.0387 | Sem Loss: -0.0026 | Con Loss: 1.5420 | Sem Penalty: 0.0000 | Lam: 0.0185
Step 250 | Total Loss: 0.0362 | Sem Loss: -0.0045 | Con Loss: 1.8926 | Sem Penalty: 0.0000 | Lam: 0.0180
Step 260 | Total Loss: 0.0378 | Sem Loss: -0.0077 | Con Loss: 2.7207 | Sem Penalty: 0.0000 | Lam: 0.0175
Step 270 | Total Loss: 0.0371 | Sem Loss: -0.0058 | Con Loss: 2.2793 | Sem Penalty: 0.0000 | Lam: 0.0170
