Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.1481 | Sem Loss: -0.0019 | Con Loss: 2.3555 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.0679 | Sem Loss: -0.0003 | Con Loss: 1.2998 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0778 | Sem Loss: -0.0012 | Con Loss: 1.4385 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0852 | Sem Loss: -0.0031 | Con Loss: 1.8096 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0658 | Sem Loss: -0.0008 | Con Loss: 1.3477 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0587 | Sem Loss: -0.0011 | Con Loss: 1.3242 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0642 | Sem Loss: -0.0020 | Con Loss: 1.4395 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0652 | Sem Loss: -0.0002 | Con Loss: 1.6680 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0580 | Sem Loss: -0.0013 | Con Loss: 1.6729 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0518 | Sem Loss: -0.0019 | Con Loss: 1.2764 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.1226
Step 110 | Total Loss: 0.0476 | Sem Loss: -0.0014 | Con Loss: 1.2285 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0507 | Sem Loss: -0.0015 | Con Loss: 1.1816 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0446 | Sem Loss: -0.0005 | Con Loss: 1.0137 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0395 | Sem Loss: -0.0009 | Con Loss: 1.0127 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0485 | Sem Loss: -0.0029 | Con Loss: 1.2344 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0378 | Sem Loss: -0.0016 | Con Loss: 1.0049 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0420 | Sem Loss: -0.0026 | Con Loss: 1.1504 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0353 | Sem Loss: -0.0024 | Con Loss: 1.0762 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0429 | Sem Loss: -0.0012 | Con Loss: 1.1602 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0391 | Sem Loss: -0.0024 | Con Loss: 1.3428 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.1533
Step 210 | Total Loss: 0.0386 | Sem Loss: -0.0028 | Con Loss: 1.2227 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0366 | Sem Loss: -0.0019 | Con Loss: 1.0420 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0349 | Sem Loss: -0.0018 | Con Loss: 1.0615 | Sem Penalty: 0.0000 | Lam: 0.0190
Step 240 | Total Loss: 0.0271 | Sem Loss: -0.0023 | Con Loss: 1.0176 | Sem Penalty: 0.0000 | Lam: 0.0185
