Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0618 | Sem Loss: -0.0007 | Con Loss: 1.4150 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.0704 | Sem Loss: -0.0004 | Con Loss: 1.5381 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0531 | Sem Loss: -0.0005 | Con Loss: 0.8994 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0455 | Sem Loss: -0.0001 | Con Loss: 0.8545 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0445 | Sem Loss: -0.0008 | Con Loss: 1.0332 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0419 | Sem Loss: -0.0011 | Con Loss: 0.7373 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0487 | Sem Loss: -0.0012 | Con Loss: 0.8901 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0441 | Sem Loss: -0.0009 | Con Loss: 0.8330 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0384 | Sem Loss: -0.0000 | Con Loss: 0.7295 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0372 | Sem Loss: -0.0008 | Con Loss: 0.9429 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.0494
Step 110 | Total Loss: 0.0379 | Sem Loss: -0.0003 | Con Loss: 0.8237 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0316 | Sem Loss: -0.0004 | Con Loss: 0.7358 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0385 | Sem Loss: -0.0009 | Con Loss: 1.1309 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0365 | Sem Loss: -0.0004 | Con Loss: 0.9917 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0371 | Sem Loss: -0.0004 | Con Loss: 1.0127 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0300 | Sem Loss: -0.0003 | Con Loss: 0.8706 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0287 | Sem Loss: -0.0010 | Con Loss: 0.8701 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0275 | Sem Loss: -0.0004 | Con Loss: 0.8384 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0399 | Sem Loss: -0.0017 | Con Loss: 1.2090 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0304 | Sem Loss: -0.0005 | Con Loss: 0.8203 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.0313
Step 210 | Total Loss: 0.0296 | Sem Loss: -0.0015 | Con Loss: 0.9761 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0237 | Sem Loss: -0.0002 | Con Loss: 0.7217 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0231 | Sem Loss: -0.0012 | Con Loss: 0.8374 | Sem Penalty: 0.0000 | Lam: 0.0190
