Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.1209 | Sem Loss: -0.0005 | Con Loss: 2.8672 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.1130 | Sem Loss: -0.0017 | Con Loss: 2.3809 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.1111 | Sem Loss: -0.0048 | Con Loss: 3.2012 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0980 | Sem Loss: -0.0036 | Con Loss: 2.3145 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0964 | Sem Loss: -0.0039 | Con Loss: 2.3574 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0931 | Sem Loss: -0.0024 | Con Loss: 2.0000 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.1041 | Sem Loss: -0.0038 | Con Loss: 2.4297 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0882 | Sem Loss: -0.0020 | Con Loss: 1.9375 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0857 | Sem Loss: -0.0020 | Con Loss: 1.9707 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0837 | Sem Loss: -0.0035 | Con Loss: 2.0059 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.2256
Step 110 | Total Loss: 0.0785 | Sem Loss: -0.0004 | Con Loss: 1.5586 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0840 | Sem Loss: -0.0008 | Con Loss: 1.9844 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0750 | Sem Loss: -0.0016 | Con Loss: 1.6729 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0743 | Sem Loss: -0.0031 | Con Loss: 1.8877 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0743 | Sem Loss: -0.0034 | Con Loss: 1.9258 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0740 | Sem Loss: 0.0005 | Con Loss: 1.7822 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0752 | Sem Loss: -0.0030 | Con Loss: 1.9307 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0746 | Sem Loss: -0.0023 | Con Loss: 1.9609 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0679 | Sem Loss: -0.0049 | Con Loss: 2.1289 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0609 | Sem Loss: -0.0027 | Con Loss: 1.4531 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.1746
Step 210 | Total Loss: 0.0587 | Sem Loss: -0.0029 | Con Loss: 1.5693 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0594 | Sem Loss: -0.0028 | Con Loss: 1.4980 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0522 | Sem Loss: -0.0042 | Con Loss: 1.6650 | Sem Penalty: 0.0000 | Lam: 0.0190
Step 240 | Total Loss: 0.0552 | Sem Loss: -0.0025 | Con Loss: 1.4941 | Sem Penalty: 0.0000 | Lam: 0.0185
Step 250 | Total Loss: 0.0555 | Sem Loss: -0.0032 | Con Loss: 1.6709 | Sem Penalty: 0.0000 | Lam: 0.0180
Step 260 | Total Loss: 0.0365 | Sem Loss: -0.0036 | Con Loss: 1.4668 | Sem Penalty: 0.0000 | Lam: 0.0175
Step 270 | Total Loss: 0.0476 | Sem Loss: -0.0048 | Con Loss: 1.6992 | Sem Penalty: 0.0000 | Lam: 0.0170
Step 280 | Total Loss: 0.0411 | Sem Loss: -0.0041 | Con Loss: 1.3984 | Sem Penalty: 0.0000 | Lam: 0.0166
Step 290 | Total Loss: 0.0453 | Sem Loss: -0.0047 | Con Loss: 1.8232 | Sem Penalty: 0.0000 | Lam: 0.0161
Step 300 | Total Loss: 0.0390 | Sem Loss: -0.0039 | Con Loss: 1.8105 | Sem Penalty: 0.0000 | Lam: 0.0156
      Step 300 | Scalar Projection: 0.2539
Step 310 | Total Loss: 0.0455 | Sem Loss: -0.0042 | Con Loss: 1.8115 | Sem Penalty: 0.0000 | Lam: 0.0151
Step 320 | Total Loss: 0.0412 | Sem Loss: -0.0048 | Con Loss: 1.6699 | Sem Penalty: 0.0000 | Lam: 0.0146
Step 330 | Total Loss: 0.0366 | Sem Loss: -0.0049 | Con Loss: 1.5889 | Sem Penalty: 0.0000 | Lam: 0.0142
Step 340 | Total Loss: 0.0297 | Sem Loss: -0.0056 | Con Loss: 1.5674 | Sem Penalty: 0.0000 | Lam: 0.0137
