Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0725 | Sem Loss: 0.0005 | Con Loss: 2.1523 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.0627 | Sem Loss: 0.0003 | Con Loss: 1.7783 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0515 | Sem Loss: 0.0002 | Con Loss: 1.3721 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0502 | Sem Loss: -0.0022 | Con Loss: 1.5488 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0506 | Sem Loss: -0.0032 | Con Loss: 1.5020 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0601 | Sem Loss: 0.0002 | Con Loss: 1.7207 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0386 | Sem Loss: -0.0011 | Con Loss: 1.1230 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0363 | Sem Loss: -0.0011 | Con Loss: 1.1787 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0410 | Sem Loss: -0.0024 | Con Loss: 1.2949 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0386 | Sem Loss: -0.0019 | Con Loss: 1.1680 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.1266
Step 110 | Total Loss: 0.0460 | Sem Loss: -0.0013 | Con Loss: 1.3477 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0438 | Sem Loss: -0.0004 | Con Loss: 1.4766 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0354 | Sem Loss: -0.0032 | Con Loss: 1.2979 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0281 | Sem Loss: -0.0013 | Con Loss: 0.9678 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0372 | Sem Loss: -0.0024 | Con Loss: 1.3096 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0276 | Sem Loss: -0.0018 | Con Loss: 1.0986 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0272 | Sem Loss: -0.0030 | Con Loss: 1.1582 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0253 | Sem Loss: -0.0025 | Con Loss: 1.1211 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0286 | Sem Loss: -0.0033 | Con Loss: 1.2988 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0328 | Sem Loss: -0.0023 | Con Loss: 1.8721 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.1477
Step 210 | Total Loss: 0.0359 | Sem Loss: -0.0021 | Con Loss: 2.0215 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0275 | Sem Loss: -0.0025 | Con Loss: 1.1660 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0299 | Sem Loss: -0.0026 | Con Loss: 1.3555 | Sem Penalty: 0.0000 | Lam: 0.0190
Step 240 | Total Loss: 0.0264 | Sem Loss: -0.0009 | Con Loss: 1.1133 | Sem Penalty: 0.0000 | Lam: 0.0185
