Alpha: 65.0000, initial Lam: 0.0300, final Lam: 0.0060
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0300
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0658 | Sem Loss: -0.0009 | Con Loss: 1.1719 | Sem Penalty: 0.0000 | Lam: 0.0295
Step  20 | Total Loss: 0.0733 | Sem Loss: -0.0008 | Con Loss: 1.2812 | Sem Penalty: 0.0000 | Lam: 0.0290
Step  30 | Total Loss: 0.0645 | Sem Loss: 0.0002 | Con Loss: 1.5830 | Sem Penalty: 0.0000 | Lam: 0.0286
Step  40 | Total Loss: 0.0519 | Sem Loss: -0.0008 | Con Loss: 1.0996 | Sem Penalty: 0.0000 | Lam: 0.0281
Step  50 | Total Loss: 0.0561 | Sem Loss: 0.0000 | Con Loss: 1.4941 | Sem Penalty: 0.0000 | Lam: 0.0276
Step  60 | Total Loss: 0.0487 | Sem Loss: -0.0005 | Con Loss: 0.9707 | Sem Penalty: 0.0000 | Lam: 0.0271
Step  70 | Total Loss: 0.0458 | Sem Loss: 0.0001 | Con Loss: 1.1357 | Sem Penalty: 0.0000 | Lam: 0.0266
Step  80 | Total Loss: 0.0464 | Sem Loss: 0.0001 | Con Loss: 1.3057 | Sem Penalty: 0.0000 | Lam: 0.0262
Step  90 | Total Loss: 0.0450 | Sem Loss: -0.0005 | Con Loss: 0.8726 | Sem Penalty: 0.0000 | Lam: 0.0257
Step 100 | Total Loss: 0.0465 | Sem Loss: -0.0004 | Con Loss: 0.9824 | Sem Penalty: 0.0000 | Lam: 0.0252
      Step 100 | Scalar Projection: 0.0280
Step 110 | Total Loss: 0.0367 | Sem Loss: -0.0017 | Con Loss: 1.0752 | Sem Penalty: 0.0000 | Lam: 0.0247
Step 120 | Total Loss: 0.0370 | Sem Loss: -0.0007 | Con Loss: 0.7886 | Sem Penalty: 0.0000 | Lam: 0.0242
Step 130 | Total Loss: 0.0388 | Sem Loss: -0.0004 | Con Loss: 1.3789 | Sem Penalty: 0.0000 | Lam: 0.0238
Step 140 | Total Loss: 0.0502 | Sem Loss: -0.0011 | Con Loss: 1.3145 | Sem Penalty: 0.0000 | Lam: 0.0233
Step 150 | Total Loss: 0.0386 | Sem Loss: -0.0013 | Con Loss: 1.0293 | Sem Penalty: 0.0000 | Lam: 0.0228
Step 160 | Total Loss: 0.0328 | Sem Loss: -0.0010 | Con Loss: 1.1279 | Sem Penalty: 0.0000 | Lam: 0.0223
Step 170 | Total Loss: 0.0291 | Sem Loss: -0.0015 | Con Loss: 0.8145 | Sem Penalty: 0.0000 | Lam: 0.0218
Step 180 | Total Loss: 0.0285 | Sem Loss: -0.0011 | Con Loss: 0.9189 | Sem Penalty: 0.0000 | Lam: 0.0214
Step 190 | Total Loss: 0.0319 | Sem Loss: -0.0013 | Con Loss: 0.8018 | Sem Penalty: 0.0000 | Lam: 0.0209
Step 200 | Total Loss: 0.0293 | Sem Loss: -0.0012 | Con Loss: 0.8647 | Sem Penalty: 0.0000 | Lam: 0.0204
      Step 200 | Scalar Projection: 0.0803
Step 210 | Total Loss: 0.0287 | Sem Loss: -0.0008 | Con Loss: 0.8994 | Sem Penalty: 0.0000 | Lam: 0.0199
Step 220 | Total Loss: 0.0264 | Sem Loss: -0.0020 | Con Loss: 0.9639 | Sem Penalty: 0.0000 | Lam: 0.0194
Step 230 | Total Loss: 0.0272 | Sem Loss: -0.0019 | Con Loss: 0.8765 | Sem Penalty: 0.0000 | Lam: 0.0190
Step 240 | Total Loss: 0.0244 | Sem Loss: -0.0015 | Con Loss: 0.8135 | Sem Penalty: 0.0000 | Lam: 0.0185
Step 250 | Total Loss: 0.0250 | Sem Loss: -0.0017 | Con Loss: 0.8413 | Sem Penalty: 0.0000 | Lam: 0.0180
Step 260 | Total Loss: 0.0253 | Sem Loss: -0.0016 | Con Loss: 0.8765 | Sem Penalty: 0.0000 | Lam: 0.0175
Step 270 | Total Loss: 0.0214 | Sem Loss: -0.0015 | Con Loss: 0.7661 | Sem Penalty: 0.0000 | Lam: 0.0170
Step 280 | Total Loss: 0.0214 | Sem Loss: -0.0020 | Con Loss: 0.7910 | Sem Penalty: 0.0000 | Lam: 0.0166
Step 290 | Total Loss: 0.0215 | Sem Loss: -0.0017 | Con Loss: 0.8711 | Sem Penalty: 0.0000 | Lam: 0.0161
Step 300 | Total Loss: 0.0184 | Sem Loss: -0.0016 | Con Loss: 0.7495 | Sem Penalty: 0.0000 | Lam: 0.0156
      Step 300 | Scalar Projection: 0.1064
Step 310 | Total Loss: 0.0187 | Sem Loss: -0.0022 | Con Loss: 0.8652 | Sem Penalty: 0.0000 | Lam: 0.0151
Step 320 | Total Loss: 0.0187 | Sem Loss: -0.0016 | Con Loss: 0.8276 | Sem Penalty: 0.0000 | Lam: 0.0146
Step 330 | Total Loss: 0.0175 | Sem Loss: -0.0017 | Con Loss: 0.9136 | Sem Penalty: 0.0000 | Lam: 0.0142
Step 340 | Total Loss: 0.0155 | Sem Loss: -0.0019 | Con Loss: 0.7700 | Sem Penalty: 0.0000 | Lam: 0.0137
Step 350 | Total Loss: 0.0148 | Sem Loss: -0.0024 | Con Loss: 0.7979 | Sem Penalty: 0.0000 | Lam: 0.0132
Step 360 | Total Loss: 0.0140 | Sem Loss: -0.0024 | Con Loss: 0.7808 | Sem Penalty: 0.0000 | Lam: 0.0127
Step 370 | Total Loss: 0.0134 | Sem Loss: -0.0023 | Con Loss: 0.8887 | Sem Penalty: 0.0000 | Lam: 0.0122
Step 380 | Total Loss: 0.0120 | Sem Loss: -0.0024 | Con Loss: 0.8135 | Sem Penalty: 0.0000 | Lam: 0.0118
Step 390 | Total Loss: 0.0107 | Sem Loss: -0.0030 | Con Loss: 0.8955 | Sem Penalty: 0.0000 | Lam: 0.0113
Step 400 | Total Loss: 0.0093 | Sem Loss: -0.0025 | Con Loss: 0.8364 | Sem Penalty: 0.0000 | Lam: 0.0108
      Step 400 | Scalar Projection: 0.1641
Step 410 | Total Loss: 0.0098 | Sem Loss: -0.0026 | Con Loss: 0.8228 | Sem Penalty: 0.0000 | Lam: 0.0103
Step 420 | Total Loss: 0.0082 | Sem Loss: -0.0036 | Con Loss: 0.9072 | Sem Penalty: 0.0000 | Lam: 0.0098
Step 430 | Total Loss: 0.0095 | Sem Loss: -0.0031 | Con Loss: 0.8706 | Sem Penalty: 0.0000 | Lam: 0.0094
Step 440 | Total Loss: 0.0076 | Sem Loss: -0.0035 | Con Loss: 0.9902 | Sem Penalty: 0.0000 | Lam: 0.0089
Step 450 | Total Loss: 0.0060 | Sem Loss: -0.0041 | Con Loss: 1.0537 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 460 | Total Loss: 0.0050 | Sem Loss: -0.0046 | Con Loss: 1.2881 | Sem Penalty: 0.0000 | Lam: 0.0079
Step 470 | Total Loss: 0.0045 | Sem Loss: -0.0047 | Con Loss: 1.2129 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 480 | Total Loss: 0.0028 | Sem Loss: -0.0053 | Con Loss: 1.1758 | Sem Penalty: 0.0000 | Lam: 0.0070
Step 490 | Total Loss: 0.0029 | Sem Loss: -0.0052 | Con Loss: 1.3623 | Sem Penalty: 0.0000 | Lam: 0.0065
