Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0247 | Sem Loss: -0.0022 | Con Loss: 1.4375 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0250 | Sem Loss: -0.0019 | Con Loss: 1.7324 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0173 | Sem Loss: -0.0020 | Con Loss: 1.1680 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0193 | Sem Loss: -0.0038 | Con Loss: 1.5723 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0154 | Sem Loss: -0.0026 | Con Loss: 1.1455 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0176 | Sem Loss: -0.0035 | Con Loss: 1.5420 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0172 | Sem Loss: -0.0036 | Con Loss: 1.5068 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0135 | Sem Loss: -0.0036 | Con Loss: 1.2715 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0145 | Sem Loss: -0.0044 | Con Loss: 1.4463 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0132 | Sem Loss: -0.0053 | Con Loss: 1.5039 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.3450
Step 110 | Total Loss: 0.0127 | Sem Loss: -0.0045 | Con Loss: 1.3477 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0099 | Sem Loss: -0.0046 | Con Loss: 1.2373 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0108 | Sem Loss: -0.0049 | Con Loss: 1.2871 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0100 | Sem Loss: -0.0053 | Con Loss: 1.4287 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0093 | Sem Loss: -0.0043 | Con Loss: 1.3057 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0089 | Sem Loss: -0.0058 | Con Loss: 1.4580 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0075 | Sem Loss: -0.0059 | Con Loss: 1.3223 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0081 | Sem Loss: -0.0073 | Con Loss: 1.7168 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0058 | Sem Loss: -0.0071 | Con Loss: 1.6172 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0050 | Sem Loss: -0.0077 | Con Loss: 1.6074 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.5020
Step 210 | Total Loss: 0.0054 | Sem Loss: -0.0071 | Con Loss: 1.5898 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0046 | Sem Loss: -0.0087 | Con Loss: 1.8047 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0036 | Sem Loss: -0.0091 | Con Loss: 1.8887 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0037 | Sem Loss: -0.0084 | Con Loss: 1.7490 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0023 | Sem Loss: -0.0109 | Con Loss: 2.2070 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0017 | Sem Loss: -0.0114 | Con Loss: 2.5605 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0004 | Sem Loss: -0.0124 | Con Loss: 2.4629 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: -0.0007 | Sem Loss: -0.0149 | Con Loss: 3.0664 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: -0.0018 | Sem Loss: -0.0173 | Con Loss: 3.2520 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0022 | Sem Loss: -0.0173 | Con Loss: 3.5332 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.1279
Step 310 | Total Loss: -0.0031 | Sem Loss: -0.0168 | Con Loss: 3.4121 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0047 | Sem Loss: -0.0197 | Con Loss: 3.8008 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0063 | Sem Loss: -0.0240 | Con Loss: 5.0039 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0072 | Sem Loss: -0.0235 | Con Loss: 4.4336 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0101 | Sem Loss: -0.0333 | Con Loss: 6.3203 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0111 | Sem Loss: -0.0354 | Con Loss: 6.8516 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0157 | Sem Loss: -0.0389 | Con Loss: 7.7070 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0156 | Sem Loss: -0.0400 | Con Loss: 7.7305 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0197 | Sem Loss: -0.0486 | Con Loss: 9.1953 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0239 | Sem Loss: -0.0512 | Con Loss: 10.2109 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 3.3262
Step 410 | Total Loss: -0.0274 | Sem Loss: -0.0564 | Con Loss: 11.3828 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0401 | Sem Loss: -0.0687 | Con Loss: 14.0859 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0464 | Sem Loss: -0.0737 | Con Loss: 14.6953 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0578 | Sem Loss: -0.0897 | Con Loss: 17.8594 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0586 | Sem Loss: -0.0886 | Con Loss: 19.1094 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0758 | Sem Loss: -0.1214 | Con Loss: 24.0625 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0994 | Sem Loss: -0.1498 | Con Loss: 29.3438 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.1035 | Sem Loss: -0.1534 | Con Loss: 27.6719 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.1167 | Sem Loss: -0.1564 | Con Loss: 29.8906 | Sem Penalty: 0.0000 | Lam: 0.0028
