Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0186 | Sem Loss: -0.0028 | Con Loss: 1.9717 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0124 | Sem Loss: -0.0028 | Con Loss: 1.1309 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0138 | Sem Loss: -0.0017 | Con Loss: 1.2168 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0139 | Sem Loss: -0.0032 | Con Loss: 1.3516 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0127 | Sem Loss: -0.0033 | Con Loss: 1.4336 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0126 | Sem Loss: -0.0021 | Con Loss: 1.0693 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0122 | Sem Loss: -0.0037 | Con Loss: 1.2871 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0108 | Sem Loss: -0.0032 | Con Loss: 1.4199 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0128 | Sem Loss: -0.0042 | Con Loss: 1.8330 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0117 | Sem Loss: -0.0045 | Con Loss: 1.6592 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.2922
Step 110 | Total Loss: 0.0114 | Sem Loss: -0.0037 | Con Loss: 1.8760 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0096 | Sem Loss: -0.0034 | Con Loss: 1.2803 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0092 | Sem Loss: -0.0040 | Con Loss: 1.3750 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0082 | Sem Loss: -0.0047 | Con Loss: 1.5000 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0077 | Sem Loss: -0.0052 | Con Loss: 1.3994 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0072 | Sem Loss: -0.0045 | Con Loss: 1.4102 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0092 | Sem Loss: -0.0058 | Con Loss: 1.7334 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0059 | Sem Loss: -0.0075 | Con Loss: 1.7607 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0043 | Sem Loss: -0.0061 | Con Loss: 1.5459 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0043 | Sem Loss: -0.0060 | Con Loss: 1.6006 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.3926
Step 210 | Total Loss: 0.0033 | Sem Loss: -0.0061 | Con Loss: 1.5527 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0040 | Sem Loss: -0.0073 | Con Loss: 1.7285 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0022 | Sem Loss: -0.0078 | Con Loss: 1.9639 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0028 | Sem Loss: -0.0067 | Con Loss: 1.8203 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0013 | Sem Loss: -0.0076 | Con Loss: 1.7373 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: -0.0003 | Sem Loss: -0.0095 | Con Loss: 1.8594 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: -0.0007 | Sem Loss: -0.0085 | Con Loss: 1.9570 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: -0.0005 | Sem Loss: -0.0108 | Con Loss: 2.3379 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: -0.0027 | Sem Loss: -0.0115 | Con Loss: 2.2949 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0035 | Sem Loss: -0.0137 | Con Loss: 2.7559 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 0.8911
Step 310 | Total Loss: -0.0036 | Sem Loss: -0.0126 | Con Loss: 2.6758 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0055 | Sem Loss: -0.0139 | Con Loss: 2.6641 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0073 | Sem Loss: -0.0156 | Con Loss: 2.9688 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0077 | Sem Loss: -0.0162 | Con Loss: 3.3320 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0106 | Sem Loss: -0.0223 | Con Loss: 4.2773 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0109 | Sem Loss: -0.0210 | Con Loss: 4.2148 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0148 | Sem Loss: -0.0308 | Con Loss: 5.8125 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0172 | Sem Loss: -0.0330 | Con Loss: 6.6367 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0214 | Sem Loss: -0.0349 | Con Loss: 6.8398 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0278 | Sem Loss: -0.0503 | Con Loss: 10.0625 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 3.2715
Step 410 | Total Loss: -0.0348 | Sem Loss: -0.0667 | Con Loss: 12.3516 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0455 | Sem Loss: -0.0803 | Con Loss: 15.0859 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0502 | Sem Loss: -0.0951 | Con Loss: 18.4531 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0664 | Sem Loss: -0.1093 | Con Loss: 19.9531 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0855 | Sem Loss: -0.1458 | Con Loss: 26.9688 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.1025 | Sem Loss: -0.1592 | Con Loss: 28.2500 | Sem Penalty: 0.0000 | Lam: 0.0033
