Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0118 | Sem Loss: -0.0015 | Con Loss: 0.5186 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0086 | Sem Loss: -0.0007 | Con Loss: 0.3025 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0090 | Sem Loss: -0.0011 | Con Loss: 0.3806 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0090 | Sem Loss: -0.0007 | Con Loss: 0.3481 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0078 | Sem Loss: -0.0011 | Con Loss: 0.4216 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0067 | Sem Loss: -0.0012 | Con Loss: 0.3713 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0062 | Sem Loss: -0.0010 | Con Loss: 0.3025 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0066 | Sem Loss: -0.0013 | Con Loss: 0.3540 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0059 | Sem Loss: -0.0013 | Con Loss: 0.3618 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0060 | Sem Loss: -0.0012 | Con Loss: 0.3218 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.0771
Step 110 | Total Loss: 0.0059 | Sem Loss: -0.0012 | Con Loss: 0.3152 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0060 | Sem Loss: -0.0014 | Con Loss: 0.3430 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0047 | Sem Loss: -0.0013 | Con Loss: 0.3196 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0047 | Sem Loss: -0.0016 | Con Loss: 0.3323 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0046 | Sem Loss: -0.0019 | Con Loss: 0.4053 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0038 | Sem Loss: -0.0016 | Con Loss: 0.3438 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0041 | Sem Loss: -0.0018 | Con Loss: 0.3940 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0033 | Sem Loss: -0.0017 | Con Loss: 0.3599 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0030 | Sem Loss: -0.0021 | Con Loss: 0.3911 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0029 | Sem Loss: -0.0017 | Con Loss: 0.3708 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.1133
Step 210 | Total Loss: 0.0026 | Sem Loss: -0.0017 | Con Loss: 0.3469 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0025 | Sem Loss: -0.0021 | Con Loss: 0.4153 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0021 | Sem Loss: -0.0022 | Con Loss: 0.3970 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0019 | Sem Loss: -0.0018 | Con Loss: 0.3279 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0016 | Sem Loss: -0.0024 | Con Loss: 0.4111 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0019 | Sem Loss: -0.0020 | Con Loss: 0.3706 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0014 | Sem Loss: -0.0025 | Con Loss: 0.4766 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0008 | Sem Loss: -0.0029 | Con Loss: 0.4854 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0005 | Sem Loss: -0.0024 | Con Loss: 0.4436 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: 0.0001 | Sem Loss: -0.0028 | Con Loss: 0.5054 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 0.1844
Step 310 | Total Loss: 0.0001 | Sem Loss: -0.0027 | Con Loss: 0.5107 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0004 | Sem Loss: -0.0032 | Con Loss: 0.5669 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0008 | Sem Loss: -0.0033 | Con Loss: 0.5508 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0010 | Sem Loss: -0.0036 | Con Loss: 0.6392 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0016 | Sem Loss: -0.0035 | Con Loss: 0.6318 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0021 | Sem Loss: -0.0038 | Con Loss: 0.6978 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0026 | Sem Loss: -0.0042 | Con Loss: 0.7578 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0030 | Sem Loss: -0.0047 | Con Loss: 0.8638 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0034 | Sem Loss: -0.0049 | Con Loss: 0.9038 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0043 | Sem Loss: -0.0049 | Con Loss: 0.9102 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 0.3206
Step 410 | Total Loss: -0.0052 | Sem Loss: -0.0056 | Con Loss: 1.0645 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0062 | Sem Loss: -0.0059 | Con Loss: 1.1533 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0071 | Sem Loss: -0.0060 | Con Loss: 1.1816 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0092 | Sem Loss: -0.0075 | Con Loss: 1.4746 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0110 | Sem Loss: -0.0079 | Con Loss: 1.7051 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0128 | Sem Loss: -0.0092 | Con Loss: 2.0352 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0120 | Sem Loss: -0.0099 | Con Loss: 2.3262 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.0275 | Sem Loss: -0.0168 | Con Loss: 4.8086 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.0339 | Sem Loss: -0.0236 | Con Loss: 5.8242 | Sem Penalty: 0.0000 | Lam: 0.0028
