Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0143 | Sem Loss: -0.0010 | Con Loss: 0.5288 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0139 | Sem Loss: -0.0010 | Con Loss: 0.5459 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0124 | Sem Loss: -0.0011 | Con Loss: 0.6519 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0122 | Sem Loss: -0.0010 | Con Loss: 0.5161 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0121 | Sem Loss: -0.0011 | Con Loss: 0.5093 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0113 | Sem Loss: -0.0011 | Con Loss: 0.5229 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0100 | Sem Loss: -0.0015 | Con Loss: 0.5713 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0100 | Sem Loss: -0.0012 | Con Loss: 0.5015 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0096 | Sem Loss: -0.0018 | Con Loss: 0.5195 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0096 | Sem Loss: -0.0015 | Con Loss: 0.5244 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.0981
Step 110 | Total Loss: 0.0097 | Sem Loss: -0.0019 | Con Loss: 0.5405 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0089 | Sem Loss: -0.0013 | Con Loss: 0.5347 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0083 | Sem Loss: -0.0015 | Con Loss: 0.5342 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0076 | Sem Loss: -0.0018 | Con Loss: 0.5288 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0072 | Sem Loss: -0.0025 | Con Loss: 0.5732 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0069 | Sem Loss: -0.0020 | Con Loss: 0.5479 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0066 | Sem Loss: -0.0021 | Con Loss: 0.5029 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0070 | Sem Loss: -0.0021 | Con Loss: 0.6045 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0064 | Sem Loss: -0.0024 | Con Loss: 0.5698 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0063 | Sem Loss: -0.0025 | Con Loss: 0.6328 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.1635
Step 210 | Total Loss: 0.0066 | Sem Loss: -0.0029 | Con Loss: 0.7012 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0063 | Sem Loss: -0.0026 | Con Loss: 0.6992 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0052 | Sem Loss: -0.0030 | Con Loss: 0.6772 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0054 | Sem Loss: -0.0024 | Con Loss: 0.6533 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0046 | Sem Loss: -0.0029 | Con Loss: 0.6943 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0045 | Sem Loss: -0.0028 | Con Loss: 0.6440 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0040 | Sem Loss: -0.0031 | Con Loss: 0.6523 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: 0.0035 | Sem Loss: -0.0036 | Con Loss: 0.7646 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0034 | Sem Loss: -0.0034 | Con Loss: 0.7383 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: 0.0028 | Sem Loss: -0.0036 | Con Loss: 0.7861 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 0.2343
Step 310 | Total Loss: 0.0025 | Sem Loss: -0.0035 | Con Loss: 0.7754 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: 0.0025 | Sem Loss: -0.0037 | Con Loss: 0.8604 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: 0.0021 | Sem Loss: -0.0041 | Con Loss: 0.8706 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: 0.0017 | Sem Loss: -0.0042 | Con Loss: 0.9233 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: 0.0009 | Sem Loss: -0.0043 | Con Loss: 0.9253 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: 0.0004 | Sem Loss: -0.0050 | Con Loss: 1.0127 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: 0.0005 | Sem Loss: -0.0049 | Con Loss: 1.0371 | Sem Penalty: 0.0000 | Lam: 0.0046
Step 380 | Total Loss: -0.0006 | Sem Loss: -0.0058 | Con Loss: 1.2119 | Sem Penalty: 0.0000 | Lam: 0.0045
Step 390 | Total Loss: -0.0011 | Sem Loss: -0.0058 | Con Loss: 1.2363 | Sem Penalty: 0.0000 | Lam: 0.0043
Step 400 | Total Loss: -0.0004 | Sem Loss: -0.0058 | Con Loss: 1.3076 | Sem Penalty: 0.0000 | Lam: 0.0042
      Step 400 | Scalar Projection: 0.3757
Step 410 | Total Loss: -0.0022 | Sem Loss: -0.0066 | Con Loss: 1.4199 | Sem Penalty: 0.0000 | Lam: 0.0040
Step 420 | Total Loss: -0.0033 | Sem Loss: -0.0076 | Con Loss: 1.5986 | Sem Penalty: 0.0000 | Lam: 0.0039
Step 430 | Total Loss: -0.0049 | Sem Loss: -0.0100 | Con Loss: 2.1152 | Sem Penalty: 0.0000 | Lam: 0.0037
Step 440 | Total Loss: -0.0064 | Sem Loss: -0.0106 | Con Loss: 2.2793 | Sem Penalty: 0.0000 | Lam: 0.0036
Step 450 | Total Loss: -0.0096 | Sem Loss: -0.0160 | Con Loss: 3.5195 | Sem Penalty: 0.0000 | Lam: 0.0034
Step 460 | Total Loss: -0.0126 | Sem Loss: -0.0184 | Con Loss: 4.1836 | Sem Penalty: 0.0000 | Lam: 0.0033
Step 470 | Total Loss: -0.0180 | Sem Loss: -0.0270 | Con Loss: 6.2500 | Sem Penalty: 0.0000 | Lam: 0.0031
Step 480 | Total Loss: -0.0189 | Sem Loss: -0.0261 | Con Loss: 6.1602 | Sem Penalty: 0.0000 | Lam: 0.0030
Step 490 | Total Loss: -0.0229 | Sem Loss: -0.0279 | Con Loss: 5.9648 | Sem Penalty: 0.0000 | Lam: 0.0028
