Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0121 | Sem Loss: -0.0006 | Con Loss: 0.5342 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0144 | Sem Loss: -0.0006 | Con Loss: 0.6421 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0103 | Sem Loss: -0.0005 | Con Loss: 0.4512 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0117 | Sem Loss: -0.0007 | Con Loss: 0.4546 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0118 | Sem Loss: -0.0006 | Con Loss: 0.6841 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0109 | Sem Loss: -0.0010 | Con Loss: 0.4668 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0099 | Sem Loss: -0.0009 | Con Loss: 0.5439 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0084 | Sem Loss: -0.0016 | Con Loss: 0.5044 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0101 | Sem Loss: -0.0008 | Con Loss: 0.4690 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0088 | Sem Loss: -0.0011 | Con Loss: 0.5278 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.0690
Step 110 | Total Loss: 0.0078 | Sem Loss: -0.0008 | Con Loss: 0.5015 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0082 | Sem Loss: -0.0012 | Con Loss: 0.6182 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0067 | Sem Loss: -0.0010 | Con Loss: 0.4734 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0071 | Sem Loss: -0.0014 | Con Loss: 0.5415 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0065 | Sem Loss: -0.0014 | Con Loss: 0.5469 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0071 | Sem Loss: -0.0019 | Con Loss: 0.5249 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0070 | Sem Loss: -0.0017 | Con Loss: 0.5303 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0056 | Sem Loss: -0.0015 | Con Loss: 0.5112 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0048 | Sem Loss: -0.0018 | Con Loss: 0.5752 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0044 | Sem Loss: -0.0014 | Con Loss: 0.5244 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.0928
Step 210 | Total Loss: 0.0042 | Sem Loss: -0.0018 | Con Loss: 0.5747 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0039 | Sem Loss: -0.0021 | Con Loss: 0.5767 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0049 | Sem Loss: -0.0019 | Con Loss: 0.6543 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0038 | Sem Loss: -0.0018 | Con Loss: 0.5747 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0033 | Sem Loss: -0.0024 | Con Loss: 0.6709 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0027 | Sem Loss: -0.0023 | Con Loss: 0.6792 | Sem Penalty: 0.0000 | Lam: 0.0062
