Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0224 | Sem Loss: -0.0011 | Con Loss: 1.5264 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0286 | Sem Loss: -0.0001 | Con Loss: 1.7422 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0214 | Sem Loss: -0.0026 | Con Loss: 1.4492 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0191 | Sem Loss: -0.0029 | Con Loss: 1.5605 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0191 | Sem Loss: -0.0044 | Con Loss: 1.6865 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0180 | Sem Loss: -0.0047 | Con Loss: 1.6191 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0235 | Sem Loss: -0.0031 | Con Loss: 1.6260 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0146 | Sem Loss: -0.0047 | Con Loss: 1.4971 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0170 | Sem Loss: -0.0065 | Con Loss: 1.9453 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0199 | Sem Loss: -0.0057 | Con Loss: 1.7383 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.3677
Step 110 | Total Loss: 0.0200 | Sem Loss: -0.0052 | Con Loss: 2.5859 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0134 | Sem Loss: -0.0060 | Con Loss: 1.5859 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0115 | Sem Loss: -0.0042 | Con Loss: 1.4189 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0133 | Sem Loss: -0.0070 | Con Loss: 1.6572 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0143 | Sem Loss: -0.0086 | Con Loss: 1.8594 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0099 | Sem Loss: -0.0060 | Con Loss: 1.5322 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0080 | Sem Loss: -0.0087 | Con Loss: 1.8809 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0117 | Sem Loss: -0.0089 | Con Loss: 1.9141 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0062 | Sem Loss: -0.0098 | Con Loss: 1.7559 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0057 | Sem Loss: -0.0104 | Con Loss: 1.9102 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.6772
Step 210 | Total Loss: 0.0062 | Sem Loss: -0.0099 | Con Loss: 1.8213 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0066 | Sem Loss: -0.0095 | Con Loss: 1.7500 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0053 | Sem Loss: -0.0112 | Con Loss: 2.0352 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0048 | Sem Loss: -0.0113 | Con Loss: 2.0371 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0035 | Sem Loss: -0.0138 | Con Loss: 2.3359 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0023 | Sem Loss: -0.0134 | Con Loss: 2.3262 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0011 | Sem Loss: -0.0154 | Con Loss: 2.3887 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: -0.0004 | Sem Loss: -0.0149 | Con Loss: 2.3555 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: -0.0007 | Sem Loss: -0.0160 | Con Loss: 2.6074 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: -0.0021 | Sem Loss: -0.0171 | Con Loss: 2.6484 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.1123
Step 310 | Total Loss: -0.0037 | Sem Loss: -0.0199 | Con Loss: 3.0137 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0050 | Sem Loss: -0.0211 | Con Loss: 3.2148 | Sem Penalty: 0.0000 | Lam: 0.0053
