Alpha: 65.0000, initial Lam: 0.0100, final Lam: 0.0027
Step   0 | Total Loss: 0.0000 | Sem Loss: -0.0000 | Con Loss: 0.0000 | Sem Penalty: 0.0000 | Lam: 0.0100
      Step   0 | Scalar Projection: 0.0000
Step  10 | Total Loss: 0.0401 | Sem Loss: -0.0042 | Con Loss: 3.1895 | Sem Penalty: 0.0000 | Lam: 0.0099
Step  20 | Total Loss: 0.0320 | Sem Loss: -0.0057 | Con Loss: 2.8184 | Sem Penalty: 0.0000 | Lam: 0.0097
Step  30 | Total Loss: 0.0321 | Sem Loss: -0.0069 | Con Loss: 3.7988 | Sem Penalty: 0.0000 | Lam: 0.0096
Step  40 | Total Loss: 0.0261 | Sem Loss: -0.0072 | Con Loss: 2.6914 | Sem Penalty: 0.0000 | Lam: 0.0094
Step  50 | Total Loss: 0.0260 | Sem Loss: -0.0047 | Con Loss: 2.4746 | Sem Penalty: 0.0000 | Lam: 0.0093
Step  60 | Total Loss: 0.0233 | Sem Loss: -0.0056 | Con Loss: 2.8496 | Sem Penalty: 0.0000 | Lam: 0.0091
Step  70 | Total Loss: 0.0195 | Sem Loss: -0.0059 | Con Loss: 2.2012 | Sem Penalty: 0.0000 | Lam: 0.0090
Step  80 | Total Loss: 0.0223 | Sem Loss: -0.0095 | Con Loss: 3.0254 | Sem Penalty: 0.0000 | Lam: 0.0088
Step  90 | Total Loss: 0.0250 | Sem Loss: -0.0087 | Con Loss: 2.4297 | Sem Penalty: 0.0000 | Lam: 0.0087
Step 100 | Total Loss: 0.0225 | Sem Loss: -0.0071 | Con Loss: 2.3496 | Sem Penalty: 0.0000 | Lam: 0.0085
      Step 100 | Scalar Projection: 0.4619
Step 110 | Total Loss: 0.0172 | Sem Loss: -0.0074 | Con Loss: 2.5098 | Sem Penalty: 0.0000 | Lam: 0.0084
Step 120 | Total Loss: 0.0152 | Sem Loss: -0.0088 | Con Loss: 2.4863 | Sem Penalty: 0.0000 | Lam: 0.0082
Step 130 | Total Loss: 0.0185 | Sem Loss: -0.0059 | Con Loss: 2.5938 | Sem Penalty: 0.0000 | Lam: 0.0081
Step 140 | Total Loss: 0.0142 | Sem Loss: -0.0099 | Con Loss: 2.4766 | Sem Penalty: 0.0000 | Lam: 0.0080
Step 150 | Total Loss: 0.0204 | Sem Loss: -0.0101 | Con Loss: 2.5195 | Sem Penalty: 0.0000 | Lam: 0.0078
Step 160 | Total Loss: 0.0224 | Sem Loss: -0.0113 | Con Loss: 3.1309 | Sem Penalty: 0.0000 | Lam: 0.0077
Step 170 | Total Loss: 0.0116 | Sem Loss: -0.0102 | Con Loss: 2.6035 | Sem Penalty: 0.0000 | Lam: 0.0075
Step 180 | Total Loss: 0.0167 | Sem Loss: -0.0115 | Con Loss: 2.5547 | Sem Penalty: 0.0000 | Lam: 0.0074
Step 190 | Total Loss: 0.0162 | Sem Loss: -0.0122 | Con Loss: 2.8281 | Sem Penalty: 0.0000 | Lam: 0.0072
Step 200 | Total Loss: 0.0090 | Sem Loss: -0.0109 | Con Loss: 2.5586 | Sem Penalty: 0.0000 | Lam: 0.0071
      Step 200 | Scalar Projection: 0.7061
Step 210 | Total Loss: 0.0082 | Sem Loss: -0.0135 | Con Loss: 2.7539 | Sem Penalty: 0.0000 | Lam: 0.0069
Step 220 | Total Loss: 0.0126 | Sem Loss: -0.0127 | Con Loss: 3.0449 | Sem Penalty: 0.0000 | Lam: 0.0068
Step 230 | Total Loss: 0.0062 | Sem Loss: -0.0145 | Con Loss: 3.0000 | Sem Penalty: 0.0000 | Lam: 0.0066
Step 240 | Total Loss: 0.0050 | Sem Loss: -0.0148 | Con Loss: 2.9688 | Sem Penalty: 0.0000 | Lam: 0.0065
Step 250 | Total Loss: 0.0037 | Sem Loss: -0.0148 | Con Loss: 3.0391 | Sem Penalty: 0.0000 | Lam: 0.0063
Step 260 | Total Loss: 0.0027 | Sem Loss: -0.0146 | Con Loss: 2.7969 | Sem Penalty: 0.0000 | Lam: 0.0062
Step 270 | Total Loss: 0.0022 | Sem Loss: -0.0146 | Con Loss: 2.8652 | Sem Penalty: 0.0000 | Lam: 0.0061
Step 280 | Total Loss: -0.0002 | Sem Loss: -0.0163 | Con Loss: 3.0469 | Sem Penalty: 0.0000 | Lam: 0.0059
Step 290 | Total Loss: 0.0010 | Sem Loss: -0.0159 | Con Loss: 3.3340 | Sem Penalty: 0.0000 | Lam: 0.0058
Step 300 | Total Loss: 0.0029 | Sem Loss: -0.0209 | Con Loss: 3.6094 | Sem Penalty: 0.0000 | Lam: 0.0056
      Step 300 | Scalar Projection: 1.3594
Step 310 | Total Loss: -0.0034 | Sem Loss: -0.0170 | Con Loss: 3.1465 | Sem Penalty: 0.0000 | Lam: 0.0055
Step 320 | Total Loss: -0.0057 | Sem Loss: -0.0237 | Con Loss: 4.1836 | Sem Penalty: 0.0000 | Lam: 0.0053
Step 330 | Total Loss: -0.0052 | Sem Loss: -0.0221 | Con Loss: 3.9707 | Sem Penalty: 0.0000 | Lam: 0.0052
Step 340 | Total Loss: -0.0108 | Sem Loss: -0.0274 | Con Loss: 4.6172 | Sem Penalty: 0.0000 | Lam: 0.0050
Step 350 | Total Loss: -0.0124 | Sem Loss: -0.0304 | Con Loss: 5.1484 | Sem Penalty: 0.0000 | Lam: 0.0049
Step 360 | Total Loss: -0.0149 | Sem Loss: -0.0359 | Con Loss: 5.9727 | Sem Penalty: 0.0000 | Lam: 0.0047
Step 370 | Total Loss: -0.0180 | Sem Loss: -0.0361 | Con Loss: 6.0312 | Sem Penalty: 0.0000 | Lam: 0.0046
